,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, NC,24,2,8,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.0,-0.21
1,1, NC,26,32,85,80,12,17,3,0,1,23,7,2,1,0,0,19,3,1,0,0.213,0.25,0.28800000000000003,0.5379999999999999,0.25,54.4,-0.02
