,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, LG,20,0,0,0,4,6,1,16,65.1,30,27,273,57,2,2,20,5,8,38,1,3,3.72,3.69,1.18,109.9,111.4
1,1, LG,21,0,0,0,4,4,5,20,75.0,26,26,305,48,0,3,29,3,11,59,0,1,3.12,3.98,1.03,148.5,117.5
2,2, LG,22,0,0,0,7,3,2,27,65.0,16,16,263,43,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3
3,3, LG,23,0,0,0,1,0,0,9,19.0,2,2,76,9,0,2,13,0,1,12,0,0,0.95,5.57,1.16,382.0,65.1
