,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, 삼성,19,61,106,93,7,19,6,0,2,31,7,0,0,0,0,36,0,4,1,0.204,0.265,0.33299999999999996,0.598,0.266,52.2,0.11
1,1, 삼성,20,34,49,41,2,9,2,0,0,11,9,0,0,0,0,16,0,1,2,0.22,0.292,0.268,0.56,0.262,47.0,-0.08
2,2, 삼성,21,25,46,41,1,6,2,0,0,8,1,0,1,2,0,20,0,1,0,0.146,0.222,0.195,0.41700000000000004,0.20600000000000002,11.9,-0.28
