,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, NC,19,0,0,1,0,0,0,0,3.0,3,3,14,4,0,1,2,0,0,1,0,0,9.0,9.07,2.0,47.1,46.8
1,1, NC,20,0,0,12,9,3,0,0,87.2,37,36,372,78,0,12,39,1,2,72,0,7,3.7,5.06,1.34,131.9,95.9
2,2, NC,21,0,0,24,8,9,0,0,123.1,83,81,574,147,2,12,58,1,9,102,1,2,5.91,4.55,1.66,76.8,99.3
3,3, NC,22,0,0,8,2,3,0,0,40.2,21,19,187,41,2,3,21,0,9,41,0,2,4.2,4.41,1.53,90.0,85.6
