,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, 키움,26,0,0,0,0,0,0,0,2.0,2,2,10,2,0,0,2,0,0,2,0,0,9.0,4.4,2.0,45.9,94.6
1,1, 키움,27,0,0,4,0,1,0,0,27.1,32,27,146,54,1,3,10,0,2,11,0,1,8.89,5.49,2.34,53.1,84.9
2,2, 키움,28,0,0,0,0,0,0,1,12.1,2,2,53,11,0,0,5,0,1,7,0,0,1.46,3.66,1.3,303.8,121.2
3,3, 키움,29,0,0,0,1,0,0,1,3.1,8,7,20,6,0,0,4,0,1,6,0,0,18.9,4.15,3.0,19.6,88.7
