,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, LG,21,5,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,0.307,70.9,-0.05
1,1, LG,24,31,89,79,11,18,1,0,1,22,10,1,1,2,0,15,1,0,1,0.228,0.303,0.278,0.5820000000000001,0.28600000000000003,65.3,-0.13
2,2, LG,25,26,106,84,15,32,8,1,2,48,13,3,3,0,0,14,5,3,1,0.381,0.485,0.5710000000000001,1.057,0.465,208.1,1.37
