,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR,Name,Unnamed: 0.1
12,12, 롯데,35,89,300,274,35,76,10,1,4,100,33,2,0,2,3,44,7,1,2,0.27699999999999997,0.331,0.365,0.696,0.319,79.7,-0.1,김응국,12.0
13,13, 롯데,36,116,412,373,35,106,15,3,3,136,49,12,5,2,2,58,8,2,1,0.284,0.34600000000000003,0.365,0.711,0.322,95.4,1.39,김응국,13.0
14,14, 롯데,37,51,156,140,18,33,5,1,4,52,14,2,2,2,1,22,6,2,0,0.23600000000000002,0.305,0.371,0.677,0.303,75.4,0.07,김응국,14.0
0,0, MBC,28,3,13,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-113.0,-0.26,김재박,0.0
1,1, MBC,29,97,433,373,53,108,22,2,5,149,46,34,12,10,2,23,7,4,4,0.29,0.373,0.39899999999999997,0.772,0.35700000000000004,130.3,4.69,김재박,1.0
2,2, MBC,30,91,392,343,53,103,11,5,7,145,37,26,11,5,1,33,6,3,5,0.3,0.37,0.423,0.7929999999999999,0.366,135.3,4.44,김재박,2.0
3,3, MBC,31,100,431,377,54,118,15,3,3,148,36,50,17,5,1,29,3,6,3,0.313,0.382,0.39299999999999996,0.775,0.36,125.7,4.67,김재박,3.0
4,4, MBC,32,102,447,386,67,102,18,4,4,140,43,38,14,7,3,36,6,16,2,0.264,0.336,0.363,0.6990000000000001,0.32,104.6,3.65,김재박,4.0
5,5, MBC,33,100,448,399,53,113,23,5,1,149,24,33,18,5,2,26,7,4,1,0.28300000000000003,0.354,0.373,0.727,0.344,111.5,3.62,김재박,5.0
6,6, MBC,34,99,447,409,49,109,18,1,2,135,26,25,12,1,2,23,3,6,3,0.267,0.313,0.33,0.643,0.298,79.9,1.83,김재박,6.0
7,7, MBC,35,101,425,357,64,102,8,2,3,123,27,39,14,4,0,33,6,7,4,0.28600000000000003,0.38,0.345,0.725,0.349,115.0,3.85,김재박,7.0
8,8, LG,36,109,431,381,49,91,9,2,2,110,45,14,9,2,2,24,5,10,2,0.239,0.306,0.289,0.595,0.28300000000000003,66.1,0.96,김재박,8.0
9,9, LG,37,82,292,247,34,65,13,2,0,82,18,15,7,2,1,23,7,15,0,0.263,0.34299999999999997,0.332,0.675,0.306,84.1,1.37,김재박,9.0
10,10, 태평양,38,82,311,276,36,61,11,0,1,75,19,10,5,4,0,26,3,3,1,0.221,0.299,0.272,0.57,0.27399999999999997,57.9,0.36,김재박,10.0
0,0, LG,19,125,535,463,81,134,26,3,21,229,80,21,4,12,2,86,7,0,5,0.289,0.376,0.495,0.87,0.395,155.1,5.97,김재현,0.0
1,1, LG,20,116,448,381,55,97,19,3,15,167,56,13,9,13,2,83,6,3,6,0.255,0.348,0.43799999999999994,0.787,0.354,130.1,3.21,김재현,1.0
2,2, LG,21,117,482,414,57,117,20,0,11,170,60,7,7,11,4,52,7,6,2,0.28300000000000003,0.3720000000000001,0.41100000000000003,0.7829999999999999,0.358,129.7,3.29,김재현,2.0
3,3, LG,23,122,541,482,70,142,31,3,16,227,76,8,6,7,2,80,6,2,3,0.295,0.364,0.47100000000000003,0.835,0.37,134.4,4.23,김재현,3.0
4,4, LG,24,121,520,453,75,130,17,1,21,212,94,8,4,9,2,58,14,0,4,0.287,0.371,0.46799999999999997,0.8390000000000001,0.369,116.4,2.93,김재현,4.0
5,5, LG,25,131,560,464,83,143,32,2,11,212,62,6,6,7,5,73,11,3,5,0.308,0.415,0.457,0.872,0.391,134.5,4.26,김재현,5.0
6,6, LG,26,126,534,428,81,139,29,1,8,194,61,10,8,6,1,83,9,8,4,0.325,0.44299999999999995,0.45299999999999996,0.8959999999999999,0.41100000000000003,141.6,4.52,김재현,6.0
7,7, LG,27,98,370,296,50,99,14,0,16,161,61,11,3,18,5,51,6,0,2,0.33399999999999996,0.462,0.544,1.006,0.441,180.6,5.03,김재현,7.0
8,8, LG,28,50,166,143,13,44,8,0,6,70,21,0,0,4,1,25,5,0,2,0.308,0.392,0.49,0.8809999999999999,0.39299999999999996,139.7,1.32,김재현,8.0
9,9, LG,29,120,458,373,56,112,18,3,14,178,62,1,1,12,5,58,10,0,7,0.3,0.415,0.47700000000000004,0.892,0.405,145.4,4.13,김재현,9.0
10,10, SK,30,120,499,400,63,126,17,0,19,200,77,2,2,16,10,59,9,0,3,0.315,0.445,0.5,0.945,0.4270000000000001,165.8,4.68,김재현,10.0
11,11, SK,31,109,441,356,42,102,16,1,8,144,51,5,2,6,3,56,10,1,2,0.287,0.418,0.40399999999999997,0.823,0.38799999999999996,150.4,3.36,김재현,11.0
12,12, SK,32,84,250,204,26,40,11,0,5,66,19,4,4,1,4,40,10,1,1,0.196,0.337,0.324,0.6609999999999999,0.313,87.5,-0.04,김재현,12.0
13,13, SK,33,108,364,297,46,92,17,3,10,145,60,4,3,4,2,40,12,0,4,0.31,0.426,0.488,0.914,0.42100000000000004,159.8,3.23,김재현,13.0
14,14, SK,34,112,359,289,45,87,18,0,10,135,51,8,1,5,3,45,5,0,1,0.301,0.433,0.467,0.9,0.408,139.6,2.51,김재현,14.0
15,15, SK,35,111,328,267,41,77,17,0,10,124,48,7,5,3,2,42,10,4,3,0.28800000000000003,0.40399999999999997,0.46399999999999997,0.8690000000000001,0.391,132.8,1.79,김재현,15.0
0,0, 두산,19,36,9,9,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-137.8, -0.21,김재호,0.0
1,1, 두산,20,47,31,27,6,6,1,1,1,12,4,1,0,1,0,5,1,1,0,0.222,0.3,0.444,0.7440000000000001,0.32299999999999995,93.3, 0.15,김재호,1.0
2,2, 두산,23,112,292,261,48,65,8,5,1,86,21,12,3,2,0,33,7,3,1,0.249,0.318,0.33,0.648,0.307,80.6, 1.38,김재호,2.0
3,3, 두산,24,80,205,180,27,43,9,4,3,69,36,4,1,1,0,27,5,0,4,0.239,0.312,0.38299999999999995,0.696,0.313,75.0, 0.54,김재호,3.0
4,4, 두산,25,83,102,85,11,19,3,1,0,24,8,5,1,1,0,15,3,2,0,0.22399999999999998,0.34,0.282,0.622,0.301,72.3, 0.36,김재호,4.0
5,5, 두산,26,57,122,109,6,20,5,1,0,27,9,1,1,2,0,15,4,2,2,0.183,0.242,0.248,0.489,0.23199999999999998,29.0, -0.31,김재호,5.0
6,6, 두산,27,84,200,177,23,38,2,2,0,44,11,3,3,2,0,31,5,5,0,0.215,0.287,0.249,0.536,0.258,53.5, 0.10,김재호,6.0
7,7, 두산,28,91,286,248,42,78,10,3,1,97,32,9,6,0,0,24,7,10,2,0.315,0.377,0.391,0.768,0.35200000000000004,106.8, 2.00,김재호,7.0
8,8, 두산,29,122,421,341,50,86,14,1,3,111,54,2,8,2,0,59,14,13,11,0.252,0.348,0.326,0.674,0.31,71.7, 0.66,김재호,8.0
9,9, 두산,30,133,488,410,63,126,24,3,3,165,50,7,2,3,0,42,18,14,7,0.307,0.386,0.402,0.789,0.354,105.3, 3.64,김재호,9.0
10,10, 두산,31,137,496,416,69,129,27,3,7,183,78,8,4,5,1,52,8,5,13,0.31,0.389,0.44,0.8290000000000001,0.374,110.5, 3.24,김재호,10.0
11,11, 두산,32,91,331,283,34,83,18,1,7,124,50,7,1,3,1,52,6,2,7,0.293,0.371,0.43799999999999994,0.809,0.358,111.1, 2.17,김재호,11.0
12,12, 두산,33,131,467,402,78,125,20,0,16,193,75,6,2,4,1,77,12,3,6,0.311,0.39,0.48,0.87,0.379,124.5, 3.79,김재호,12.0
13,13, 두산,34,130,470,377,51,101,22,0,4,135,48,3,3,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5, 2.92,김재호,13.0
14,14, 두산,35,120,457,401,48,116,15,1,2,139,39,6,2,4,1,45,17,2,5,0.289,0.363,0.34700000000000003,0.7090000000000001,0.33399999999999996,95.3, ,김재호,14.0
15,15, 두산,36,89,251,211,23,44,8,0,1,55,24,1,1,2,0,34,7,6,3,0.209,0.306,0.261,0.5670000000000001,0.275,58.2, -0.02,김재호,15.0
16,16, 두산,37,23,43,37,3,2,0,0,0,2,2,0,0,0,0,8,0,1,1,0.054000000000000006,0.14300000000000002,0.054000000000000006,0.19699999999999998,0.11,-44.1, -0.52,김재호,16.0
0,0, 두산,20,14,21,21,0,3,0,0,0,3,0,0,1,0,0,6,0,0,0,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,0.136,-36.4, -0.34,김재환,0.0
1,1, 두산,23,30,56,54,4,10,3,0,2,19,8,1,1,1,0,14,2,0,0,0.185,0.214,0.35200000000000004,0.5660000000000001,0.258,46.7, -0.27,김재환,1.0
2,2, 두산,24,13,43,39,7,5,1,0,1,9,1,0,0,0,0,9,0,0,0,0.128,0.209,0.231,0.44,0.215,23.7, -0.09,김재환,2.0
3,3, 두산,26,52,96,85,12,26,6,0,3,41,13,1,0,0,1,12,3,0,0,0.306,0.385,0.48200000000000004,0.868,0.386,127.2, 0.81,김재환,3.0
4,4, 두산,27,48,180,153,24,36,8,0,7,65,22,4,1,2,1,39,6,1,2,0.235,0.335,0.425,0.76,0.336,100.9, 0.48,김재환,4.0
5,5, 두산,28,134,568,492,107,160,32,3,37,309,124,8,2,0,3,107,9,0,5,0.325,0.40700000000000003,0.628,1.035,0.442,162.7, 5.75,김재환,5.0
6,6, 두산,29,144,636,544,110,185,34,2,35,328,115,4,1,7,10,123,8,0,4,0.34,0.429,0.603,1.032,0.44,170.7, 7.45,김재환,6.0
7,7, 두산,30,139,602,527,104,176,36,1,44,346,133,2,0,9,4,134,6,0,7,0.33399999999999996,0.405,0.657,1.062,0.43799999999999994,168.8, 6.94,김재환,7.0
8,8, 두산,31,136,573,494,76,140,20,5,15,215,91,3,1,5,5,113,7,0,11,0.28300000000000003,0.363,0.435,0.7979999999999999,0.36200000000000004,124.0, 3.56,김재환,8.0
9,9, 두산,32,140,613,515,82,137,26,1,30,255,113,6,0,1,3,154,14,0,6,0.266,0.374,0.495,0.8690000000000001,0.385,135.2, ,김재환,9.0
10,10, 두산,33,137,566,475,86,130,23,2,27,238,102,2,3,5,3,127,9,0,5,0.27399999999999997,0.382,0.501,0.883,0.401,148.2, 4.77,김재환,10.0
11,11, 두산,34,36,153,135,14,27,8,0,6,53,18,0,0,1,0,37,0,0,1,0.2,0.28800000000000003,0.39299999999999996,0.68,0.314,105.9, 0.34,김재환,11.0
0,0, 해태,23,126,481,428,52,92,21,2,11,150,51,22,4,6,1,104,5,5,5,0.215,0.284,0.35,0.634,0.29100000000000004,81.7,1.99,김종국,0.0
1,1, 해태,24,126,433,371,52,78,15,0,9,120,35,13,4,2,1,74,8,20,3,0.21,0.28300000000000003,0.32299999999999995,0.607,0.268,61.9,0.48,김종국,1.0
2,2, 해태,25,42,139,125,15,29,2,1,2,39,11,8,2,4,0,21,5,2,1,0.23199999999999998,0.292,0.312,0.604,0.276,67.8,0.43,김종국,2.0
3,3, 해태,26,2,5,3,2,1,0,0,1,4,2,0,0,0,0,1,0,0,0,0.33299999999999996,0.6,1.3330000000000002,1.933,0.6679999999999999,310.5,0.16,김종국,3.0
4,4, 해태,27,86,258,228,26,59,11,1,2,78,31,15,4,3,0,42,4,2,4,0.259,0.324,0.342,0.6659999999999999,0.305,76.4,0.81,김종국,4.0
5,5, 해태/KIA,28,101,416,361,63,103,15,3,4,136,25,21,12,5,0,56,5,7,3,0.285,0.36200000000000004,0.377,0.7390000000000001,0.341,94.4,1.99,김종국,5.0
6,6, KIA,29,133,595,527,95,151,26,3,8,207,53,50,9,3,0,116,5,3,1,0.287,0.363,0.39299999999999996,0.7559999999999999,0.34299999999999997,109.8,4.85,김종국,6.0
7,7, KIA,30,125,539,464,67,116,23,1,6,159,46,31,11,4,0,67,3,14,3,0.25,0.33,0.34299999999999997,0.6729999999999999,0.305,77.4,1.77,김종국,7.0
8,8, KIA,31,133,562,491,66,130,20,1,10,182,46,39,8,5,0,81,10,18,2,0.265,0.33299999999999996,0.371,0.703,0.319,85.9,2.65,김종국,8.0
9,9, KIA,32,117,429,374,39,88,15,3,4,121,40,11,5,3,0,68,7,10,5,0.235,0.306,0.324,0.629,0.289,69.9,0.81,김종국,9.0
10,10, KIA,33,111,369,323,35,73,17,1,1,95,26,16,5,3,0,59,6,16,2,0.226,0.28600000000000003,0.294,0.58,0.266,61.3,0.5,김종국,10.0
11,11, KIA,34,93,342,288,47,69,13,0,6,100,28,13,3,6,0,39,13,6,2,0.24,0.342,0.34700000000000003,0.69,0.324,96.0,2.09,김종국,11.0
12,12, KIA,35,113,346,300,33,70,16,3,1,95,26,13,3,2,0,57,5,10,1,0.233,0.313,0.317,0.629,0.294,71.9,0.93,김종국,12.0
13,13, KIA,36,51,123,108,12,27,4,0,1,34,9,2,0,0,0,12,1,3,2,0.25,0.308,0.315,0.623,0.284,54.6,0.0,김종국,13.0
0,0, 해태,23,77,286,258,28,75,12,0,10,117,43,7,2,3,2,27,7,1,7,0.29100000000000004,0.33299999999999996,0.45299999999999996,0.787,0.349,111.6,1.48,김종모,0.0
1,1, 해태,24,86,342,311,51,109,17,2,11,163,44,7,10,3,3,26,11,0,2,0.35,0.40399999999999997,0.524,0.9279999999999999,0.42200000000000004,175.3,4.08,김종모,1.0
2,2, 해태,25,74,310,272,38,86,12,1,14,142,44,2,5,0,1,31,10,0,3,0.316,0.39,0.522,0.912,0.41600000000000004,169.5,3.43,김종모,2.0
3,3, 해태,26,57,160,147,9,34,2,0,4,48,20,1,2,0,0,17,8,0,2,0.231,0.281,0.327,0.608,0.28600000000000003,72.0,0.22,김종모,3.0
4,4, 해태,27,104,427,383,59,120,19,2,11,176,61,6,5,0,4,37,14,2,0,0.313,0.381,0.46,0.841,0.392,157.5,4.35,김종모,4.0
5,5, 해태,28,88,360,332,43,110,13,1,9,152,41,2,4,3,3,25,14,2,1,0.331,0.377,0.45799999999999996,0.835,0.389,143.9,2.97,김종모,5.0
6,6, 해태,29,105,393,353,36,106,8,2,4,130,35,1,1,0,2,17,12,7,4,0.3,0.35,0.368,0.718,0.33,102.2,1.45,김종모,6.0
7,7, 해태,30,57,141,127,6,30,4,0,0,34,16,0,0,1,0,10,9,2,2,0.23600000000000002,0.28800000000000003,0.268,0.556,0.26899999999999996,58.8,-0.01,김종모,7.0
8,8, 해태,31,117,442,381,41,109,20,1,10,161,64,0,2,3,4,45,11,11,4,0.28600000000000003,0.36,0.423,0.782,0.35600000000000004,116.9,2.34,김종모,8.0
9,9, 해태,32,64,170,155,15,32,4,1,8,62,23,0,0,2,0,20,8,2,1,0.20600000000000002,0.262,0.4,0.662,0.298,78.9,0.17,김종모,9.0
10,10, 해태,33,21,26,20,3,4,0,0,1,7,4,0,0,0,1,2,1,0,0,0.2,0.385,0.35,0.735,0.34,101.8,0.13,김종모,10.0
0,0, 삼성,19,60,52,48,22,15,3,2,0,22,5,7,2,1,0,16,0,0,0,0.313,0.365,0.45799999999999996,0.8240000000000001,0.369,118.7, 0.36,김주찬,0.0
1,1, 롯데,20,86,333,300,57,94,21,4,4,135,31,29,8,2,0,56,7,2,5,0.313,0.363,0.45,0.813,0.366,111.1, 1.81,김주찬,1.0
2,2, 롯데,21,84,291,264,25,58,13,4,7,100,25,9,8,5,0,75,5,7,1,0.22,0.271,0.379,0.65,0.281,66.4, -0.45,김주찬,2.0
3,3, 롯데,22,55,131,125,12,20,5,1,3,36,3,7,2,0,0,33,1,1,0,0.16,0.192,0.28800000000000003,0.48,0.213,12.2, -0.91,김주찬,3.0
4,4, 롯데,23,120,503,450,53,109,20,5,7,160,42,44,10,13,0,92,7,6,2,0.242,0.31,0.35600000000000004,0.665,0.307,77.8, 2.07,김주찬,4.0
5,5, 롯데,26,113,416,387,49,101,17,1,5,135,30,22,8,8,3,69,4,7,1,0.261,0.298,0.349,0.647,0.29600000000000004,75.6, 0.57,김주찬,5.0
6,6, 롯데,27,104,458,412,75,129,16,7,1,162,42,32,18,8,0,61,6,9,5,0.313,0.359,0.39299999999999996,0.752,0.34700000000000003,108.5, 3.08,김주찬,6.0
7,7, 롯데,28,109,479,435,77,135,30,5,7,196,51,34,7,6,0,56,7,4,6,0.31,0.35600000000000004,0.451,0.8059999999999999,0.359,105.7, 2.26,김주찬,7.0
8,8, 롯데,29,118,535,485,89,134,18,4,9,187,40,65,19,5,1,65,5,11,3,0.276,0.324,0.386,0.71,0.32,85.4, 1.30,김주찬,8.0
9,9, 롯데,30,86,371,321,58,100,12,3,6,136,40,25,10,7,0,38,4,12,4,0.312,0.373,0.424,0.797,0.361,117.3, 2.40,김주찬,9.0
10,10, 롯데,31,118,488,435,62,128,27,3,5,176,39,32,13,7,1,48,7,11,5,0.294,0.34600000000000003,0.405,0.7509999999999999,0.344,113.7, 2.88,김주찬,10.0
11,11, KIA,32,47,195,168,24,51,9,4,0,68,28,23,3,4,1,18,4,7,1,0.304,0.3720000000000001,0.405,0.777,0.35200000000000004,106.8, 1.32,김주찬,11.0
12,12, KIA,33,100,442,399,72,138,32,4,9,205,46,22,10,4,2,48,11,6,2,0.34600000000000003,0.397,0.514,0.9109999999999999,0.39899999999999997,127.7, 3.06,김주찬,12.0
13,13, KIA,34,98,377,333,66,109,23,2,18,190,62,8,2,12,3,58,10,1,8,0.327,0.38299999999999995,0.5710000000000001,0.9540000000000001,0.408,137.3, 2.57,김주찬,13.0
14,14, KIA,35,130,555,511,97,177,37,3,23,289,101,9,7,7,1,68,13,1,6,0.34600000000000003,0.386,0.5660000000000001,0.9520000000000001,0.415,135.8, 4.12,김주찬,14.0
15,15, KIA,36,122,478,440,78,136,39,2,12,215,70,9,2,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.3720000000000001,116.0, 2.34,김주찬,15.0
16,16, KIA,37,121,471,429,71,146,23,0,18,223,93,8,1,7,5,57,15,2,10,0.34,0.375,0.52,0.895,0.38,122.1, 2.75,김주찬,16.0
17,17, KIA,38,100,363,337,35,101,16,0,3,126,32,3,1,5,3,44,6,1,3,0.3,0.34,0.374,0.7140000000000001,0.33,96.3, 0.69,김주찬,17.0
18,18, KIA,39,7,18,18,3,6,0,0,1,9,2,0,1,0,0,2,2,0,0,0.33299999999999996,0.33299999999999996,0.5,0.833,0.371,117.0, ,김주찬,18.0
0,0, 해태,24,102,350,315,41,83,20,1,9,132,43,2,2,5,2,50,7,2,1,0.263,0.331,0.419,0.75,0.337,109.1,1.61,김창희,0.0
1,1, 해태,25,124,500,439,49,117,23,1,12,178,64,5,2,7,6,71,13,5,3,0.267,0.34299999999999997,0.405,0.7490000000000001,0.332,106.6,3.03,김창희,1.0
2,2, 해태,26,117,412,341,55,89,12,0,10,131,39,5,5,7,1,58,6,7,0,0.261,0.37799999999999995,0.384,0.762,0.345,100.1,2.05,김창희,2.0
3,3, 해태,27,97,307,250,36,59,8,1,5,84,37,3,3,5,2,67,7,3,1,0.23600000000000002,0.368,0.336,0.7040000000000001,0.32899999999999996,92.2,1.25,김창희,3.0
4,4, 해태/KIA,28,88,271,232,28,65,10,0,5,90,25,3,5,3,0,64,7,3,1,0.28,0.373,0.38799999999999996,0.7609999999999999,0.354,102.7,1.31,김창희,4.0
5,5, KIA,29,114,350,310,28,67,12,0,5,94,35,4,0,4,0,79,15,4,5,0.21600000000000005,0.28300000000000003,0.303,0.5870000000000001,0.266,56.7,-0.53,김창희,5.0
6,6, 두산,30,121,328,288,36,79,12,2,3,104,36,5,3,2,0,36,14,8,3,0.27399999999999997,0.33799999999999997,0.361,0.6990000000000001,0.315,83.9,1.1,김창희,6.0
7,7, 두산,31,110,344,301,37,83,17,1,4,114,31,2,3,9,1,53,13,6,0,0.276,0.355,0.379,0.7340000000000001,0.33899999999999997,99.4,1.65,김창희,7.0
8,8, 두산,32,84,270,221,26,60,9,0,3,78,35,4,2,5,1,41,3,6,3,0.271,0.379,0.353,0.732,0.34,105.0,1.55,김창희,8.0
9,9, 삼성,33,114,351,307,35,68,12,1,8,106,38,6,2,9,0,51,7,7,3,0.222,0.297,0.345,0.642,0.297,84.0,0.67,김창희,9.0
10,10, 삼성,34,100,284,251,20,62,14,2,3,89,22,2,4,5,0,34,6,9,2,0.247,0.306,0.355,0.66,0.3,79.0,0.66,김창희,10.0
11,11, 삼성,35,103,264,227,29,64,13,0,1,80,19,2,1,6,0,35,9,4,0,0.282,0.373,0.35200000000000004,0.726,0.34600000000000003,107.6,1.11,김창희,11.0
12,12, 삼성,36,71,144,126,7,30,5,0,0,35,14,1,2,3,0,18,4,1,1,0.23800000000000002,0.322,0.278,0.6,0.289,59.2,-0.31,김창희,12.0
0,0, 삼성,23,103,309,279,41,76,13,2,10,123,31,6,3,2,2,52,5,12,1,0.272,0.313,0.441,0.754,0.32899999999999996,106.9,1.97,김한수,0.0
1,1, 삼성,24,34,100,92,17,28,4,0,2,38,13,3,0,2,0,12,2,3,1,0.304,0.33,0.413,0.743,0.33,111.7,0.74,김한수,1.0
2,2, 삼성,25,30,59,54,7,10,0,0,0,10,1,1,0,1,0,21,2,1,0,0.185,0.24100000000000002,0.185,0.4270000000000001,0.20800000000000002,25.4,-0.19,김한수,2.0
3,3, 삼성,26,124,524,466,57,136,27,1,9,192,68,9,9,7,4,79,6,13,2,0.292,0.35,0.41200000000000003,0.762,0.33799999999999997,109.7,3.23,김한수,3.0
4,4, 삼성,27,126,503,463,65,139,24,1,15,210,80,5,3,6,1,70,19,9,6,0.3,0.332,0.45399999999999996,0.7859999999999999,0.342,113.6,3.44,김한수,4.0
5,5, 삼성,28,128,551,497,87,169,36,1,18,261,88,7,6,13,4,73,12,1,7,0.34,0.391,0.525,0.9159999999999999,0.397,133.6,5.09,김한수,5.0
6,6, 삼성,29,126,519,464,54,122,26,1,7,171,57,8,5,13,0,73,7,6,6,0.263,0.322,0.369,0.69,0.312,80.8,1.51,김한수,6.0
7,7, 삼성,30,117,478,427,59,133,29,2,13,205,61,3,2,13,3,57,11,2,8,0.311,0.366,0.48,0.846,0.376,117.1,3.51,김한수,7.0
8,8, 삼성,31,127,541,486,69,151,23,1,17,227,76,4,2,14,2,61,15,2,4,0.311,0.371,0.467,0.838,0.37,128.5,4.68,김한수,8.0
9,9, 삼성,32,131,532,478,67,141,23,1,17,217,70,5,2,17,0,57,20,4,4,0.295,0.354,0.45399999999999996,0.8079999999999999,0.361,116.2,3.85,김한수,9.0
10,10, 삼성,33,133,558,498,60,135,30,1,16,215,84,1,2,20,2,79,23,6,4,0.271,0.335,0.4320000000000001,0.767,0.34600000000000003,104.2,3.04,김한수,10.0
11,11, 삼성,34,114,465,406,55,119,18,0,15,182,73,1,0,18,3,68,9,3,3,0.293,0.3720000000000001,0.44799999999999995,0.821,0.3720000000000001,126.9,2.69,김한수,11.0
12,12, 삼성,35,103,396,343,41,87,15,0,7,123,54,6,3,15,0,54,12,2,4,0.254,0.34,0.359,0.6990000000000001,0.331,107.9,1.39,김한수,12.0
13,13, 삼성,36,101,317,289,25,68,11,1,3,90,26,0,2,7,0,44,6,2,5,0.235,0.28300000000000003,0.311,0.594,0.27899999999999997,64.0,-0.58,김한수,13.0
0,0, 두산,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-131.2, -0.02,김현수,0.0
1,1, 두산,19,99,353,319,33,87,19,3,5,127,32,5,2,5,1,46,12,1,2,0.273,0.335,0.39799999999999996,0.733,0.34,107.4, 1.62,김현수,1.0
2,2, 두산,20,126,558,470,83,168,34,5,9,239,89,13,8,5,1,40,12,0,2,0.35700000000000004,0.45399999999999996,0.509,0.963,0.446,176.5, 7.14,김현수,2.0
3,3, 두산,21,133,572,482,97,172,31,6,23,284,104,6,6,4,5,59,7,0,6,0.35700000000000004,0.44799999999999995,0.589,1.037,0.452,169.5, 6.88,김현수,3.0
4,4, 두산,22,132,565,473,88,150,29,0,24,251,89,4,8,6,6,64,9,0,8,0.317,0.414,0.531,0.945,0.419,152.0, 5.24,김현수,4.0
5,5, 두산,23,130,561,475,71,143,25,2,13,211,91,5,3,6,9,63,15,0,9,0.301,0.392,0.444,0.836,0.384,133.4, 4.20,김현수,5.0
6,6, 두산,24,122,491,437,47,127,17,1,7,167,65,6,3,3,2,50,9,0,5,0.29100000000000004,0.359,0.382,0.741,0.35,118.2, 2.76,김현수,6.0
7,7, 두산,25,122,510,434,63,131,23,1,16,204,90,2,4,2,10,71,6,0,12,0.302,0.382,0.47,0.852,0.384,129.2, 3.40,김현수,7.0
8,8, 두산,26,125,528,463,75,149,26,0,17,226,90,2,0,7,5,45,10,0,5,0.322,0.396,0.488,0.884,0.39299999999999996,132.2, 4.13,김현수,8.0
9,9, 두산,27,141,630,512,103,167,26,0,28,277,121,11,5,8,12,63,13,0,9,0.326,0.43799999999999994,0.541,0.9790000000000001,0.4270000000000001,163.2, 6.70,김현수,9.0
10,10, LG,30,117,511,453,95,164,39,2,20,267,101,1,3,1,6,61,9,0,10,0.36200000000000004,0.415,0.589,1.004,0.424,155.2, 4.79,김현수,10.0
11,11, LG,31,140,595,526,75,160,37,0,11,230,82,3,1,6,9,52,11,0,9,0.304,0.37,0.4370000000000001,0.807,0.366,126.1, 3.61,김현수,11.0
12,12, LG,32,142,619,547,98,181,35,2,22,286,119,0,2,2,7,53,9,0,7,0.331,0.397,0.523,0.92,0.40700000000000003,148.4, ,김현수,12.0
13,13, LG,33,140,595,506,70,144,23,1,17,220,97,3,0,3,5,42,7,0,9,0.285,0.377,0.435,0.8109999999999999,0.375,128.3, 3.31,김현수,13.0
14,14, LG,34,37,156,137,26,43,10,0,7,74,25,0,1,3,3,17,1,0,0,0.314,0.397,0.54,0.938,0.42200000000000004,184.4, 1.97,김현수,14.0
0,0, OB,23,91,248,225,29,68,14,5,7,113,24,3,4,4,3,39,2,1,0,0.302,0.364,0.502,0.867,0.392,146.5,2.26,김형석,0.0
1,1, OB,24,107,405,364,44,104,8,5,8,146,47,8,8,3,2,51,8,6,7,0.28600000000000003,0.331,0.401,0.732,0.337,117.6,2.32,김형석,1.0
2,2, OB,25,81,337,301,34,95,16,5,3,130,45,7,5,2,2,38,10,2,6,0.316,0.3670000000000001,0.4320000000000001,0.799,0.37,130.9,2.5,김형석,2.0
3,3, OB,26,36,121,114,5,25,3,0,0,28,8,2,0,0,1,12,2,0,1,0.21899999999999997,0.256,0.24600000000000002,0.502,0.237,37.1,-0.44,김형석,3.0
4,4, OB,27,117,468,423,44,121,22,2,10,177,57,5,4,1,7,54,8,2,1,0.28600000000000003,0.35,0.418,0.768,0.358,120.8,2.79,김형석,4.0
5,5, OB,28,120,483,429,49,120,18,3,12,180,61,5,5,1,5,53,9,2,8,0.28,0.341,0.42,0.7609999999999999,0.35,113.1,3.27,김형석,5.0
6,6, OB,29,126,531,473,62,136,19,9,11,206,71,3,4,2,12,49,12,2,4,0.28800000000000003,0.355,0.436,0.7909999999999999,0.35600000000000004,118.7,3.16,김형석,6.0
7,7, OB,30,126,518,459,61,129,27,5,16,214,71,3,5,2,7,55,15,1,2,0.281,0.35700000000000004,0.466,0.823,0.366,120.5,2.62,김형석,7.0
8,8, OB,31,126,529,480,47,147,23,4,10,208,62,2,4,0,6,61,12,1,2,0.306,0.366,0.433,0.799,0.371,145.1,4.48,김형석,8.0
9,9, OB,32,114,444,393,37,103,13,0,6,134,51,3,1,4,5,56,13,2,5,0.262,0.33299999999999996,0.341,0.674,0.313,95.7,0.93,김형석,9.0
10,10, OB,33,121,464,423,50,114,29,2,10,177,68,2,1,1,0,71,16,2,6,0.27,0.318,0.418,0.737,0.33299999999999996,114.6,2.02,김형석,10.0
