,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR,Name,Unnamed: 0.1
0,0, 빙그레,22,70,148,135,23,39,11,0,5,65,24,1,3,1,1,24,3,1,0,0.289,0.34700000000000003,0.48100000000000004,0.828,0.38299999999999995,136.3,1.31,강석천,0.0
1,1, 빙그레,23,113,429,356,67,100,24,1,12,162,49,16,6,4,0,72,3,17,5,0.281,0.3670000000000001,0.455,0.8220000000000001,0.368,124.3,3.78,강석천,1.0
2,2, 빙그레,24,126,523,465,72,128,21,4,11,190,57,17,10,9,1,53,11,6,3,0.275,0.342,0.409,0.7509999999999999,0.345,111.0,3.61,강석천,2.0
3,3, 빙그레,25,109,430,393,57,101,21,5,12,168,54,9,5,3,2,46,13,4,2,0.257,0.31,0.4270000000000001,0.737,0.32799999999999996,94.2,2.07,강석천,3.0
4,4, 빙그레,26,76,296,269,33,67,16,1,9,112,38,12,6,5,0,48,8,2,4,0.249,0.299,0.41600000000000004,0.716,0.331,113.9,2.11,강석천,4.0
5,5, 한화,27,46,175,150,24,34,8,0,3,51,13,5,6,7,0,23,7,4,0,0.22699999999999998,0.322,0.34,0.662,0.308,92.7,0.62,강석천,5.0
6,6, 한화,28,81,279,257,33,63,10,3,4,91,16,12,3,2,1,33,8,3,2,0.245,0.29,0.354,0.644,0.292,85.1,1.2,강석천,6.0
7,7, 한화,29,113,404,357,44,102,15,2,4,133,49,18,10,6,1,53,12,9,2,0.28600000000000003,0.349,0.373,0.722,0.33,109.4,2.65,강석천,7.0
8,8, 한화,30,123,506,447,66,144,19,4,7,192,34,17,9,7,1,40,9,10,5,0.322,0.379,0.43,0.809,0.36200000000000004,126.6,4.47,강석천,8.0
9,9, 한화,31,125,510,471,58,130,23,5,6,181,42,20,7,12,2,51,12,10,1,0.276,0.316,0.384,0.7,0.31,91.5,2.5,강석천,9.0
10,10, 한화,32,130,496,433,65,131,22,2,5,172,42,24,10,16,5,56,16,10,4,0.303,0.37,0.397,0.768,0.34,96.6,2.52,강석천,10.0
11,11, 한화,33,123,487,433,57,124,24,2,7,173,49,15,8,10,2,61,18,5,5,0.28600000000000003,0.349,0.4,0.748,0.335,96.5,2.35,강석천,11.0
12,12, 한화,34,120,450,407,44,106,18,1,2,132,45,19,9,4,1,68,9,9,1,0.26,0.315,0.324,0.64,0.29600000000000004,65.5,0.55,강석천,12.0
13,13, 한화,35,94,266,242,27,70,11,1,6,101,28,7,3,2,0,51,9,1,1,0.289,0.34700000000000003,0.41700000000000004,0.765,0.342,109.1,1.72,강석천,13.0
14,14, 한화,36,8,19,18,0,3,2,0,0,5,3,0,0,0,0,5,1,0,0,0.16699999999999998,0.21100000000000002,0.278,0.488,0.223,20.8,-0.09,강석천,14.0
0,0, 두산,18,16,10,10,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0.1,0.1,0.1,0.2,0.092,-70.2,-0.18,고영민,0.0
1,1, 두산,19,32,13,13,2,3,0,0,0,3,0,1,0,0,0,3,0,0,0,0.231,0.231,0.231,0.462,0.215,11.9,-0.05,고영민,1.0
2,2, 두산,21,16,18,17,2,2,0,0,0,2,0,0,0,1,0,9,0,0,0,0.11800000000000001,0.16699999999999998,0.11800000000000001,0.284,0.146,-30.7,-0.19,고영민,2.0
3,3, 두산,22,116,359,315,38,85,15,5,2,116,29,14,10,12,0,59,6,7,1,0.27,0.344,0.368,0.7120000000000001,0.331,108.1,2.26,고영민,3.0
4,4, 두산,23,126,536,444,89,119,29,1,12,186,66,36,10,17,1,105,9,8,6,0.268,0.373,0.419,0.792,0.365,124.7,4.91,고영민,4.0
5,5, 두산,24,126,528,427,84,114,15,3,9,162,70,39,9,14,0,109,10,7,6,0.267,0.38799999999999996,0.379,0.767,0.363,119.1,4.65,고영민,5.0
6,6, 두산,25,85,331,281,59,66,11,3,6,101,29,12,4,13,0,76,3,1,3,0.235,0.33899999999999997,0.359,0.6990000000000001,0.325,82.6,1.26,고영민,6.0
7,7, 두산,26,100,344,293,53,60,10,1,6,90,35,11,3,14,1,67,4,2,1,0.205,0.316,0.307,0.623,0.297,70.0,0.74,고영민,7.0
8,8, 두산,27,93,208,176,31,37,5,1,3,53,16,6,6,7,0,50,4,5,2,0.21,0.305,0.301,0.607,0.287,67.0,0.2,고영민,8.0
9,9, 두산,28,58,173,151,33,40,10,1,3,61,26,7,1,3,0,28,5,5,0,0.265,0.335,0.40399999999999997,0.7390000000000001,0.336,108.5,1.25,고영민,9.0
10,10, 두산,29,10,17,14,3,4,1,0,1,8,1,1,0,0,1,5,1,0,0,0.28600000000000003,0.41200000000000003,0.5710000000000001,0.983,0.424,156.6,0.22,고영민,10.0
11,11, 두산,30,52,108,94,18,27,2,0,1,32,7,1,1,0,0,18,3,1,2,0.287,0.355,0.34,0.696,0.325,81.7,0.28,고영민,11.0
12,12, 두산,31,41,77,67,13,22,1,0,3,32,11,4,2,3,0,22,4,0,1,0.32799999999999996,0.40299999999999997,0.478,0.88,0.397,138.8,0.68,고영민,12.0
13,13, 두산,32,8,5,4,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0.25,0.4,0.5,0.9,0.40399999999999997,131.2,0.04,고영민,13.0
0,0, 롯데,23,78,216,177,20,41,8,1,1,54,15,6,3,1,0,31,5,16,1,0.23199999999999998,0.315,0.305,0.62,0.28,65.9,0.3,공필성,0.0
1,1, 롯데,24,81,190,158,20,34,6,1,3,51,16,3,1,8,0,24,2,15,2,0.215,0.28,0.32299999999999995,0.603,0.262,55.8,0.07,공필성,1.0
2,2, 롯데,25,100,320,280,30,80,17,3,6,121,40,2,4,8,0,50,8,9,3,0.28600000000000003,0.34700000000000003,0.4320000000000001,0.779,0.34600000000000003,106.1,1.82,공필성,2.0
3,3, 롯데,26,124,428,379,36,91,23,3,1,123,38,6,3,6,0,64,7,13,3,0.24,0.299,0.325,0.623,0.28800000000000003,83.3,1.51,공필성,3.0
4,4, 롯데,27,126,488,420,55,114,23,5,12,183,57,25,10,13,2,71,8,4,6,0.271,0.355,0.436,0.7909999999999999,0.36,128.0,4.55,공필성,4.0
5,5, 롯데,28,126,476,390,60,103,14,6,4,141,50,22,5,22,3,68,5,8,4,0.264,0.37799999999999995,0.36200000000000004,0.74,0.341,119.5,4.13,공필성,5.0
6,6, 롯데,29,114,344,299,37,75,18,1,4,107,34,8,3,13,0,67,5,8,6,0.251,0.316,0.358,0.6729999999999999,0.307,93.0,0.5,공필성,6.0
7,7, 롯데,30,79,235,207,19,51,13,1,1,69,20,9,1,3,1,32,4,7,2,0.24600000000000002,0.307,0.33299999999999996,0.64,0.287,75.2,0.74,공필성,7.0
8,8, 롯데,31,120,428,364,42,89,12,2,6,123,42,12,9,9,2,75,9,12,5,0.245,0.327,0.33799999999999997,0.665,0.297,82.8,1.3,공필성,8.0
9,9, 롯데,32,124,275,238,28,51,13,2,2,74,21,9,5,11,0,54,3,8,2,0.214,0.292,0.311,0.603,0.271,51.4,-0.16,공필성,9.0
10,10, 롯데,33,112,177,149,16,31,4,1,1,40,13,4,2,0,0,44,5,10,1,0.20800000000000002,0.287,0.268,0.556,0.25,39.0,-0.37,공필성,10.0
0,0, SK,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , -0.04,김강민,0.0
