WAR,Name,year
2.1,강백호,1
4.69,강백호,2
4.75,강백호,3
6.35,강백호,4
3.2570666829680603,강백호,5
3.929652820614544,강백호,6
3.8896186406329796,강백호,7
4.283353349642401,강백호,8
-0.05,고명성,1
-0.17,고명성,2
-0.01,고명성,3
1.3408670497698276,고명성,4
2.651480247039087,고명성,5
2.56074580730533,고명성,6
2.548878438297206,고명성,7
2.872440340142739,고명성,8
0.07,고승민,1
-0.21,고승민,2
1.4218886022326593,고승민,3
1.6466124661449935,고승민,4
2.685280420207216,고승민,5
2.5494790829159535,고승민,6
2.9521957942383206,고승민,7
2.958559073633091,고승민,8
0.21,공민규,1
-0.06,공민규,2
1.5935468896139229,공민규,3
1.8220637075121537,공민규,4
2.7247139555700324,공민규,5
2.591729299376114,공민규,6
3.0005464595652462,공민규,7
3.007978093139534,공민규,8
-0.28,구본혁,1
-0.42,구본혁,2
-0.28,구본혁,3
1.2622768255515027,구본혁,4
2.5866965818001733,구본혁,5
2.4903287798717284,구본혁,6
2.4728280486689163,구본혁,7
2.85030398024356,구본혁,8
-0.22,김대한,1
0.9818649520117351,김대한,2
1.311892936641653,김대한,3
1.8615674950259335,김대한,4
2.603596668384238,김대한,5
2.8851894310077877,김대한,6
2.921213523032324,김대한,7
3.01910505029589,김대한,8
0.11,김도환,1
-0.08,김도환,2
-0.28,김도환,3
1.42069307812812,김도환,4
2.696547144596592,김도환,5
2.586095937181426,김도환,6
2.4728280486689163,김도환,7
2.894924786658024,김도환,8
-0.03,김성민,1
1.7964089028991095,김성민,2
2.213857583424653,김성민,3
3.0004187885975324,김성민,4
2.657113609233775,김성민,5
3.114620485949829,김성민,6
3.1752682001389525,김성민,7
3.3398831414247856,김성민,8
-0.13,김수환,1
-0.04,김수환,2
0.01,김수환,3
1.4149303541958727,김수환,4
2.6289467982603343,김수환,5
2.5973626615708025,김수환,6
2.554511800491894,김수환,7
2.8933016111011067,김수환,8
0.0,김주형,1
0.19,김주형,2
0.3,김주형,3
0.43,김주형,4
2.665563652525807,김주형,5
2.6621463268097156,김주형,6
2.6361955523148723,김주형,7
2.615878140014716,김주형,8
-0.22,김창평,1
0.02,김창평,2
-0.47,김창평,3
1.3312362467865437,김창평,4
2.603596668384238,김창평,5
2.6142627481548666,김창평,6
2.419311107819379,김창평,7
2.869727650071213,김창평,8
-0.04,김태근,1
1.47645723180628,김태근,2
1.85439383470263,김태근,3
2.523391797244818,김태근,4
2.654296928136431,김태근,5
3.024500303546748,김태근,6
3.0740187255183766,김태근,7
3.2055198504781752,김태근,8
-0.45,김형준,1
-0.01,김형준,2
0.63,김형준,3
1.242644562950244,김형준,4
2.5388130031453247,김형준,5
2.6058127048628346,김형준,6
2.729146028527226,김형준,7
2.844774197946854,김형준,8
-0.8,노시환,1
0.84,노시환,2
3.75,노시환,3
1.79,노시환,4
2.440229164738282,노시환,5
2.8452305981370802,노시환,6
3.6079505308985733,노시환,7
2.9989467692535086,노시환,8
1.06,문보경,1
0.47,문보경,2
2.0345049099938572,문보경,3
1.904533337185974,문보경,4
2.964131848844278,문보경,5
2.7410133975353497,문보경,6
3.124750271637888,문보경,7
3.0312071578402553,문보경,8
-0.05,문성주,1
-0.13,문성주,2
1.37,문성주,3
2.083850843363842,문성주,4
2.651480247039087,문성주,5
2.572012531694706,문성주,6
2.9375804297306867,문성주,7
3.081715180847663,문성주,8
-0.02,박민석,1
1.0634530140166625,박민석,2
1.3877520163595887,박민석,3
1.8925134715242518,박민석,4
2.659930290331119,박민석,5
2.9081701862096088,박민석,6
2.9425806066226663,박민석,7
3.027821545000057,박민석,8
-0.14,박승규,1
-0.34,박승규,2
-0.05,박승규,3
-0.14,박승규,4
2.6261301171629903,박승규,5
2.5128622286504805,박승규,6
2.53761171390783,박승규,7
2.455327317466105,박승규,8
-0.01,변우혁,1
1.0675324171169087,변우혁,2
1.3915449703454854,변우혁,3
1.8940607703491676,변우혁,4
2.662746971428463,변우혁,5
2.9093192239697,변우혁,6
2.9436489608021836,변우혁,7
3.028257369735265,변우혁,8
-0.21,서호철,1
-0.02,서호철,2
1.9084705485210933,서호철,3
2.192906318191867,서호철,4
2.606413349481582,서호철,5
2.6029960237654906,서호철,6
3.089250411280272,서호철,7
3.1124326302986614,서호철,8
-0.05,송승환,1
1.0512148047159233,송승환,2
1.376373154401898,송승환,3
1.887871575049504,송승환,4
2.651480247039087,송승환,5
2.9047230729293356,송승환,6
2.9393755440841147,송승환,7
3.0265140707944314,송승환,8
-0.13,송찬의,1
1.4397426039040628,송찬의,2
1.820257248829559,송찬의,3
2.5094661078205744,송찬의,4
2.6289467982603343,송찬의,5
3.014158963705928,송찬의,6
3.0644035379027224,송찬의,7
3.2015974278613,송찬의,8
-0.19,신용수,1
0.07,신용수,2
0.21,신용수,3
-0.17,신용수,4
2.6120467116762702,신용수,5
2.6283461536415875,신용수,6
2.6108454224387754,신용수,7
2.446877274174072,신용수,8
-0.02,양우현,1
-0.3,양우현,2
1.3877520163595887,양우현,3
1.3753620171145053,양우현,4
2.659930290331119,양우현,5
2.524128953039857,양우현,6
2.9425806066226663,양우현,7
2.882156472390064,양우현,8
-0.16,예진원,1
0.03,예진원,2
-0.75,예진원,3
-0.04,예진원,4
2.6204967549683023,예진원,5
2.617079429252211,예진원,6
2.340444037093745,예진원,7
2.4834941284395455,예진원,8
-0.39,오선우,1
0.08,오선우,2
-0.29,오선우,3
1.3779345468413506,오선우,4
2.5557130897293887,오선우,5
2.6311628347389315,오선우,6
2.4700113675715722,오선우,7
2.8828810719754605,오선우,8
-0.13,오영수,1
-0.13,오영수,2
-0.5,오영수,3
1.300691203114269,오영수,4
2.6289467982603343,오영수,5
2.572012531694706,오영수,6
2.410861064527347,오영수,7
2.861124085358288,오영수,8
-0.48,오정환,1
-0.01,오정환,2
1.3318330645870455,오정환,3
1.7224715458629292,오정환,4
2.5303629598532926,오정환,5
2.6058127048628346,오정환,6
2.9268300211785645,오정환,7
2.9799261572234332,오정환,8
-0.28,유장혁,1
-0.44,유장혁,2
-0.72,유장혁,3
1.1891007680678776,유장혁,4
2.5866965818001733,유장혁,5
2.48469541767704,유장혁,6
2.3488940803857776,유장혁,7
2.8296926184543314,유장혁,8
0.0,윤정빈,1
1.4927748442072655,윤정빈,2
1.869565650646217,윤정빈,3
2.5295809925444814,윤정빈,4
2.665563652525807,윤정빈,5
3.0290964545871115,윤정빈,6
3.078292142236445,윤정빈,7
3.207263149419009,윤정빈,8
0.0,이명기,1
-0.04,이명기,2
1.6324517874887996,이명기,3
1.7110926839052385,이명기,4
2.665563652525807,이명기,5
2.5973626615708025,이명기,6
3.0115047286090726,이명기,7
2.9767210946848817,이명기,8
-0.01,이승민,1
1.6992769531020742,이승민,2
2.1028865598177378,이승민,3
2.845020155404764,이승민,4
2.662746971428463,이승민,5
3.0872615132556813,이승민,6
3.1440112016843003,이승민,7
3.2961123021580683,이승민,8
-0.11,이원석,1
-0.71,이원석,2
-0.08,이원석,3
1.54390071873748,이원석,4
2.6345801604550227,이원석,5
2.4086450280487504,이원석,6
2.5291616706157978,이원석,7
2.9296284498932983,이원석,8
0.0,이인혁,1
0.08,이인혁,2
1.3953379243313822,이인혁,3
1.5194942685785824,이인혁,4
2.665563652525807,이인혁,5
2.6311628347389315,이인혁,6
2.9447173149817005,이인혁,7
2.922753931211715,이인혁,8
-0.37,이재원,1
0.25,이재원,2
0.63,이재원,3
1.3844258261583615,이재원,4
2.561346451924077,이재원,5
2.67904641339378,이재원,6
2.729146028527226,이재원,7
2.884709458350441,이재원,8
-0.05,이태훈,1
0.01,이태훈,2
2.206271675452859,이태훈,3
2.3228421117282667,이태훈,4
2.651480247039087,이태훈,5
2.6114460670575226,이태훈,6
3.1731314917799183,이태훈,7
3.1490313996508985,이태훈,8
1.8,이학주,1
0.37,이학주,2
-0.04,이학주,3
0.01,이학주,4
3.1725662500477387,이학주,5
2.712846586561909,이학주,6
2.540428395005174,이학주,7
2.4975775339262656,이학주,8
0.13,장두성,1
-0.18,장두성,2
1.8003171208841664,장두성,3
1.7765482596813924,장두성,4
2.70218050679128,장두성,5
2.5579291262079855,장두성,6
3.058787039756482,장두성,7
2.9951578429853285,장두성,8
0.0,전민재,1
0.0,전민재,2
-0.02,전민재,3
0.01,전민재,4
2.665563652525807,전민재,5
2.6086293859601786,전민재,6
2.546061757199862,전민재,7
2.4975775339262656,전민재,8
-0.22,정보근,1
-1.19,정보근,2
0.04,정보근,3
-0.56,정보근,4
2.603596668384238,정보근,5
2.2734443353762357,정보근,6
2.5629618437839263,정보근,7
2.337026711377654,정보근,8
-0.07,조한민,1
0.05,조한민,2
1.4873441780088132,조한민,3
1.6266723381996009,조한민,4
2.645846884844399,조한민,5
2.622712791446899,조한민,6
2.9706325425387665,조한민,7
2.95294257548685,조한민,8
0.03,채현우,1
-0.21,채현우,2
1.999501444182616,채현우,3
2.0022832608811196,채현우,4
2.6740136958178398,채현우,5
2.5494790829159535,채현우,6
3.1148909115886827,채현우,7
3.0587401940741494,채현우,8
-0.25,최경모,1
-0.05,최경모,2
1.7747418009987976,최경모,3
2.1815274562341767,최경모,4
2.595146625092206,최경모,5
2.5945459804734585,최경모,6
3.0515832877485174,최경모,7
3.1092275677601093,최경모,8
-0.13,최보성,1
1.4397426039040628,최보성,2
1.820257248829559,최보성,3
2.5094661078205744,최보성,4
2.6289467982603343,최보성,5
3.014158963705928,최보성,6
3.0644035379027224,최보성,7
3.2015974278613,최보성,8
0.3,최정원,1
0.8,최정원,2
1.627683475486994,최정원,3
1.9111438871418587,최정원,4
2.7500640854461293,최정원,5
2.8339638737477038,최정원,6
3.0101616471809005,최정원,7
3.0330691389506343,최정원,8
-0.02,최준우,1
-0.18,최준우,2
1.5063089479382974,최준우,3
1.539434396523975,최준우,4
2.659930290331119,최준우,5
2.5579291262079855,최준우,6
2.9759743134363528,최준우,7
2.928370429357956,최준우,8
-0.03,추재현,1
-0.22,추재현,2
0.64,추재현,3
-0.12,추재현,4
2.657113609233775,추재현,5
2.5466624018186095,추재현,6
2.73196270962457,추재현,7
2.460960679660793,추재현,8
0.04,한준수,1
1.193220188615668,한준수,2
1.5290666718536778,한준수,3
2.060290495316347,한준수,4
2.6768303769151838,한준수,5
2.944721460984485,한준수,6
2.982384438513455,한준수,7
3.0750789821484403,한준수,8
0.04,허관회,1
-0.16,허관회,2
1.6476236034323866,허관회,3
1.6655772360744772,허관회,4
2.6768303769151838,허관회,5
2.563562488402674,허관회,6
3.0157781453271415,허관회,7
2.9639008445306763,허관회,8
