year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 한화, 23, 5, 5, 5, 1, 2, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.400, 0.400, 0.600, 1.000, 0.451, 174.1
2005, 한화, 24, 7, 2, 2, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.500, 0.500, 0.500, 1.000, 0.471, 191.5
