year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2010, SK, 23, 47, 93, 76, 13, 7, 2, 0, 0, 9, 2, 7, 1, 1, 0, 19, 1, 7, 1, 0.092, 0.186, 0.118, 0.305, 0.150, -29.2
2011, SK, 24, 82, 209, 156, 21, 38, 4, 1, 1, 47, 9, 4, 4, 7, 0, 38, 2, 14, 0, 0.244, 0.395, 0.301, 0.696, 0.327, 94.1
2012, SK, 25, 109, 213, 170, 17, 39, 1, 0, 1, 43, 15, 6, 5, 2, 0, 36, 4, 7, 1, 0.229, 0.359, 0.253, 0.612, 0.301, 83.6
2013, SK, 26, 45, 85, 67, 10, 13, 4, 0, 0, 17, 4, 0, 2, 2, 0, 22, 3, 3, 0, 0.194, 0.342, 0.254, 0.595, 0.294, 67.6
2016, 한화, 29, 11, 17, 16, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0.125, 0.177, 0.125, 0.302, 0.155, -33.4
2017, 한화, 30, 21, 33, 32, 3, 7, 0, 0, 0, 7, 2, 0, 0, 0, 0, 6, 0, 1, 0, 0.219, 0.219, 0.219, 0.438, 0.197, -0.4
2018, 한화, 31, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1.000, , , 0.726, 
2019, 한화, 32, 7, 15, 12, 3, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0.250, 0.400, 0.250, 0.650, 0.333, 102.8
