year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2015, 한화, 21, 9, 12, 12, 1, 3, 1, 0, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.250, 0.250, 0.333, 0.583, 0.262, 38.2
2016, 한화, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2018, 한화, 24, 99, 224, 207, 22, 57, 7, 0, 7, 85, 29, 1, 0, 2, 0, 55, 6, 2, 1, 0.275, 0.320, 0.411, 0.730, 0.319, 78.7
2019, 한화, 25, 58, 109, 104, 7, 26, 6, 0, 2, 38, 11, 0, 0, 0, 0, 21, 3, 0, 0, 0.250, 0.284, 0.365, 0.650, 0.300, 79.5
2020, 롯데, 26, 3, 11, 8, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0.250, 0.455, 0.250, 0.705, 0.371, 117.8
