year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1985, MBC, 23, 79, 257, 210, 18, 50, 8, 5, 0, 68, 9, 4, 6, 10, 0, 23, 2, 12, 0, 0.238, 0.347, 0.324, 0.671, 0.310, 88.6
1986, MBC, 24, 98, 430, 377, 33, 96, 14, 2, 0, 114, 40, 8, 8, 10, 0, 32, 7, 10, 3, 0.255, 0.324, 0.302, 0.626, 0.298, 87.5
1987, MBC, 25, 101, 418, 347, 48, 104, 8, 9, 2, 136, 36, 15, 5, 8, 0, 28, 8, 13, 4, 0.300, 0.390, 0.392, 0.782, 0.363, 125.4
1988, MBC, 26, 80, 356, 316, 44, 95, 12, 4, 4, 127, 34, 14, 5, 5, 0, 23, 1, 5, 2, 0.301, 0.365, 0.402, 0.767, 0.354, 119.1
1989, MBC, 27, 67, 231, 189, 21, 42, 6, 1, 2, 56, 14, 9, 6, 4, 0, 28, 2, 6, 0, 0.222, 0.347, 0.296, 0.643, 0.314, 90.1
1990, LG, 28, 88, 334, 273, 42, 67, 7, 2, 0, 78, 25, 16, 10, 5, 0, 38, 4, 2, 3, 0.245, 0.371, 0.286, 0.656, 0.328, 97.9
1991, LG, 29, 22, 54, 40, 6, 5, 0, 0, 0, 5, 2, 4, 3, 1, 0, 4, 4, 0, 1, 0.125, 0.333, 0.125, 0.458, 0.262, 53.2
1992, LG, 30, 100, 285, 241, 37, 54, 8, 2, 4, 78, 25, 3, 2, 3, 1, 39, 9, 4, 1, 0.224, 0.331, 0.324, 0.655, 0.307, 79.4
1993, LG, 31, 25, 32, 31, 3, 6, 2, 0, 0, 8, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0.194, 0.219, 0.258, 0.477, 0.227, 35.6
