year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, 한화, 30, 130, 578, 525, 93, 172, 31, 3, 30, 299, 106, 35, 18, 5, 1, 93, 14, 2, 5, 0.328, 0.379, 0.570, 0.948, 0.404, 138.0, 5.79
2000, 한화, 31, 107, 458, 419, 72, 140, 29, 1, 22, 237, 80, 21, 7, 2, 1, 92, 15, 3, 9, 0.334, 0.367, 0.566, 0.933, 0.399, 137.8, 4.70
2001, 한화, 32, 130, 564, 496, 95, 166, 21, 0, 30, 277, 96, 15, 9, 2, 9, 74, 15, 0, 6, 0.335, 0.404, 0.558, 0.963, 0.421, 145.8, 6.04
2002, 한화, 33, 115, 456, 404, 56, 116, 23, 1, 21, 204, 72, 14, 9, 4, 5, 97, 6, 0, 2, 0.287, 0.364, 0.505, 0.869, 0.377, 132.9, 4.17
2004, 한화, 35, 119, 510, 440, 70, 128, 26, 1, 19, 213, 77, 9, 5, 3, 4, 89, 12, 2, 4, 0.291, 0.378, 0.484, 0.862, 0.387, 131.4, 4.61
2005, 한화, 36, 118, 507, 431, 90, 139, 24, 0, 24, 235, 86, 7, 3, 5, 7, 76, 8, 0, 6, 0.323, 0.412, 0.545, 0.958, 0.424, 160.4, 6.35
2006, 한화, 37, 117, 479, 415, 62, 118, 21, 0, 21, 202, 74, 7, 6, 4, 7, 85, 10, 0, 5, 0.284, 0.370, 0.487, 0.856, 0.388, 147.3, 4.98
