year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, OB, 23, 23, 55, 48, 6, 15, 3, 0, 0, 18, 4, 0, 0, 0, 0, 3, 0, 2, 0, 0.313, 0.377, 0.375, 0.752, 0.343, 104.3, 0.22
1993, OB, 24, 49, 86, 72, 9, 19, 4, 1, 0, 25, 6, 4, 0, 0, 0, 12, 0, 4, 1, 0.264, 0.342, 0.347, 0.689, 0.313, 100.6, 0.46
1994, OB, 25, 99, 297, 259, 37, 77, 19, 2, 4, 112, 25, 5, 6, 5, 0, 48, 4, 11, 2, 0.297, 0.357, 0.432, 0.789, 0.351, 123.4, 1.82
1995, OB, 26, 123, 439, 393, 63, 102, 15, 2, 9, 148, 58, 8, 6, 5, 0, 53, 4, 5, 4, 0.260, 0.320, 0.377, 0.697, 0.318, 103.7, 2.50
1997, OB, 28, 97, 377, 339, 34, 90, 8, 0, 6, 116, 31, 1, 3, 5, 1, 40, 6, 4, 2, 0.265, 0.327, 0.342, 0.669, 0.308, 89.2, 0.71
1998, OB, 29, 98, 279, 249, 18, 56, 9, 2, 2, 75, 20, 3, 3, 9, 1, 45, 7, 4, 0, 0.225, 0.298, 0.301, 0.599, 0.275, 65.9, -0.43
1999, 두산, 30, 121, 480, 426, 59, 135, 15, 2, 2, 160, 58, 3, 2, 4, 2, 44, 9, 2, 9, 0.317, 0.372, 0.376, 0.748, 0.340, 97.0, 1.55
2000, 두산, 31, 133, 579, 527, 94, 170, 27, 5, 7, 228, 59, 10, 4, 3, 0, 37, 12, 1, 5, 0.323, 0.374, 0.433, 0.806, 0.365, 116.6, 3.49
2001, 두산, 32, 129, 559, 513, 73, 146, 17, 3, 5, 184, 53, 11, 4, 3, 2, 43, 13, 2, 3, 0.285, 0.336, 0.359, 0.694, 0.323, 81.6, 0.95
2002, 두산, 33, 130, 488, 444, 55, 122, 12, 3, 1, 143, 30, 2, 2, 3, 0, 65, 10, 7, 3, 0.275, 0.324, 0.322, 0.646, 0.294, 75.3, -0.10
2003, 두산, 34, 124, 429, 386, 46, 112, 23, 1, 5, 152, 48, 1, 1, 4, 1, 38, 6, 4, 4, 0.290, 0.346, 0.394, 0.740, 0.335, 97.8, 1.06
2004, 두산, 35, 130, 486, 429, 51, 122, 15, 4, 5, 160, 49, 5, 8, 5, 1, 54, 5, 5, 3, 0.284, 0.356, 0.373, 0.729, 0.338, 99.1, 1.16
2005, 두산, 36, 123, 478, 423, 58, 121, 16, 0, 3, 146, 42, 4, 4, 9, 1, 53, 5, 2, 2, 0.286, 0.361, 0.345, 0.707, 0.335, 101.1, 1.26
2006, 두산, 37, 98, 214, 198, 8, 50, 8, 0, 2, 64, 19, 1, 2, 2, 0, 22, 7, 3, 4, 0.253, 0.280, 0.323, 0.603, 0.278, 70.0, -0.30
2007, 두산, 38, 23, 31, 27, 1, 5, 2, 0, 0, 7, 3, 0, 0, 0, 0, 3, 1, 0, 2, 0.185, 0.226, 0.259, 0.485, 0.225, 24.6, -0.13
