year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2004, LG, 19, 52, 70, 62, 3, 8, 1, 0, 0, 9, 2, 1, 3, 2, 0, 21, 0, 1, 1, 0.129, 0.203, 0.145, 0.348, 0.176, -14.0, -0.81
2005, KIA, 20, 124, 479, 414, 57, 110, 17, 2, 5, 146, 37, 31, 10, 9, 0, 64, 6, 14, 3, 0.266, 0.340, 0.353, 0.692, 0.317, 89.0, 1.46
2006, KIA, 21, 125, 552, 485, 78, 154, 25, 9, 1, 200, 39, 38, 11, 9, 3, 48, 6, 7, 1, 0.318, 0.391, 0.412, 0.803, 0.372, 137.2, 5.17
2007, KIA, 22, 118, 491, 439, 61, 123, 17, 8, 0, 156, 27, 17, 11, 7, 0, 40, 4, 5, 3, 0.280, 0.344, 0.355, 0.699, 0.328, 98.7, 2.67
2008, KIA, 23, 106, 473, 417, 62, 130, 24, 6, 0, 166, 38, 28, 9, 3, 1, 37, 4, 6, 0, 0.312, 0.385, 0.398, 0.784, 0.367, 122.1, 4.23
2009, KIA, 24, 50, 201, 169, 32, 45, 8, 3, 0, 59, 14, 10, 4, 4, 1, 21, 1, 6, 0, 0.266, 0.364, 0.349, 0.713, 0.326, 83.3, 0.78
2010, KIA, 25, 129, 555, 472, 74, 145, 19, 1, 3, 175, 51, 25, 12, 9, 2, 50, 10, 7, 3, 0.307, 0.398, 0.371, 0.769, 0.361, 112.8, 3.84
2011, KIA, 26, 111, 503, 421, 84, 140, 16, 2, 3, 169, 33, 30, 6, 9, 2, 33, 5, 7, 3, 0.333, 0.427, 0.401, 0.829, 0.391, 137.9, 5.54
2012, KIA, 27, 125, 580, 491, 86, 139, 14, 2, 2, 163, 37, 44, 12, 10, 0, 38, 9, 10, 3, 0.283, 0.377, 0.332, 0.709, 0.340, 111.3, 4.50
2013, KIA, 28, 100, 453, 390, 74, 115, 20, 1, 2, 143, 22, 21, 9, 7, 0, 37, 4, 10, 2, 0.295, 0.375, 0.367, 0.741, 0.349, 104.7, 2.83
2014, 한화, 29, 104, 418, 358, 62, 103, 12, 4, 0, 123, 20, 12, 11, 5, 0, 46, 5, 2, 1, 0.288, 0.385, 0.344, 0.728, 0.349, 88.2, 0.09
2015, 한화, 30, 124, 585, 493, 94, 168, 15, 7, 4, 209, 42, 28, 10, 9, 5, 45, 4, 11, 4, 0.341, 0.427, 0.424, 0.851, 0.386, 119.6, 4.96
2016, 한화, 31, 113, 530, 452, 98, 159, 20, 4, 3, 196, 41, 21, 11, 7, 1, 29, 7, 7, 1, 0.352, 0.438, 0.434, 0.872, 0.404, 128.1, 4.31
2017, 한화, 32, 57, 200, 179, 32, 47, 8, 1, 0, 57, 12, 10, 3, 2, 0, 20, 4, 1, 1, 0.263, 0.332, 0.318, 0.650, 0.304, 70.8, 0.32
2018, 한화, 33, 134, 575, 491, 82, 144, 14, 1, 1, 163, 36, 30, 11, 12, 0, 62, 8, 8, 5, 0.293, 0.379, 0.332, 0.711, 0.331, 88.6, 1.84
2020, 한화, 35, 120, 487, 419, 60, 120, 14, 2, 1, 141, 32, 17, 8, 6, 0, 36, 9, 2, 1, 0.286, 0.381, 0.337, 0.718, 0.345, 102.8, 
2021, 키움, 36, 133, 547, 459, 88, 136, 16, 8, 1, 171, 43, 16, 2, 5, 2, 46, 5, 6, 6, 0.296, 0.392, 0.373, 0.764, 0.363, 112.7, 3.10
2022, 키움, 37, 29, 130, 110, 15, 20, 3, 0, 0, 23, 8, 4, 2, 1, 0, 11, 1, 1, 2, 0.182, 0.287, 0.209, 0.496, 0.247, 52.3, -0.46
