year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 삼성, 24, 104, 401, 352, 57, 101, 17, 2, 2, 128, 28, 8, 4, 3, 0, 34, 8, 6, 1, 0.287, 0.362, 0.364, 0.726, 0.345, 111.9, 3.14
1988, 삼성, 25, 47, 134, 116, 18, 35, 3, 2, 0, 42, 11, 5, 2, 0, 0, 15, 1, 4, 3, 0.302, 0.354, 0.362, 0.716, 0.326, 99.3, 0.91
1989, 삼성, 26, 113, 380, 329, 39, 81, 15, 3, 5, 117, 38, 14, 3, 2, 1, 56, 4, 13, 5, 0.246, 0.311, 0.356, 0.666, 0.306, 85.3, 2.00
1990, 삼성, 27, 120, 503, 425, 70, 132, 22, 5, 6, 182, 45, 23, 8, 10, 0, 55, 6, 15, 2, 0.311, 0.394, 0.428, 0.823, 0.379, 131.2, 5.44
1991, 삼성, 28, 90, 393, 344, 59, 98, 14, 4, 5, 135, 45, 19, 7, 4, 0, 54, 10, 7, 4, 0.285, 0.352, 0.392, 0.745, 0.343, 109.1, 3.18
1992, 삼성, 29, 104, 341, 294, 43, 62, 12, 1, 5, 91, 27, 8, 2, 3, 0, 42, 6, 8, 1, 0.211, 0.300, 0.310, 0.610, 0.283, 64.7, 0.78
1993, 삼성, 30, 107, 444, 377, 58, 106, 13, 1, 8, 145, 45, 6, 4, 3, 0, 44, 9, 5, 2, 0.281, 0.378, 0.385, 0.763, 0.360, 134.8, 4.46
1994, 삼성, 31, 36, 152, 131, 22, 43, 8, 3, 4, 69, 22, 5, 1, 2, 0, 19, 4, 1, 2, 0.328, 0.404, 0.527, 0.931, 0.418, 168.1, 2.29
1995, 삼성, 32, 64, 172, 155, 11, 35, 11, 1, 0, 48, 10, 2, 1, 3, 0, 27, 2, 6, 0, 0.226, 0.277, 0.310, 0.587, 0.265, 67.1, 0.38
1996, 삼성, 33, 111, 413, 355, 37, 87, 13, 2, 2, 110, 35, 13, 5, 4, 1, 66, 6, 12, 2, 0.245, 0.327, 0.310, 0.637, 0.295, 84.7, 1.96
1997, 삼성, 34, 79, 248, 215, 34, 52, 13, 0, 8, 89, 34, 1, 3, 2, 0, 43, 4, 8, 0, 0.242, 0.321, 0.414, 0.735, 0.324, 100.0, 1.41
1998, 삼성, 35, 64, 158, 140, 14, 28, 8, 0, 0, 36, 13, 4, 0, 1, 0, 38, 1, 3, 1, 0.200, 0.271, 0.257, 0.528, 0.245, 47.3, 0.07
1999, 삼성, 36, 56, 70, 60, 13, 14, 1, 0, 0, 15, 6, 1, 0, 1, 0, 14, 1, 3, 0, 0.233, 0.313, 0.250, 0.563, 0.262, 46.4, -0.01
