year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1998, 롯데, 26, 103, 339, 295, 34, 68, 16, 2, 9, 115, 40, 1, 2, 6, 3, 98, 2, 5, 1, 0.231, 0.317, 0.390, 0.707, 0.312, 93.2, 0.92
1999, 롯데, 27, 118, 383, 342, 49, 97, 22, 2, 19, 180, 65, 1, 3, 5, 0, 108, 4, 5, 2, 0.284, 0.347, 0.526, 0.873, 0.369, 115.9, 2.05
2000, 롯데, 28, 113, 438, 386, 52, 102, 15, 2, 25, 196, 64, 1, 4, 9, 2, 113, 6, 0, 1, 0.264, 0.349, 0.508, 0.857, 0.373, 121.5, 2.57
2001, 롯데, 29, 120, 497, 433, 65, 131, 33, 0, 26, 242, 102, 2, 0, 8, 2, 109, 6, 3, 6, 0.303, 0.377, 0.559, 0.935, 0.406, 137.5, 4.08
2002, 롯데|SK, 30, 93, 310, 280, 37, 60, 15, 3, 13, 120, 33, 0, 1, 6, 1, 99, 2, 2, 2, 0.214, 0.279, 0.429, 0.708, 0.305, 83.6, 0.53
, 롯데, 30, 65, 247, 225, 29, 48, 11, 1, 12, 97, 25, 0, 0, 5, 1, 80, 1, 0, 2, 0.213, 0.275, 0.431, 0.706, 0.305, 83.8, 0.43
, SK, 30, 28, 63, 55, 8, 12, 4, 2, 1, 23, 8, 0, 1, 1, 0, 19, 1, 2, 0, 0.218, 0.295, 0.418, 0.713, 0.304, 82.6, 0.07
2003, SK, 31, 121, 441, 376, 63, 107, 20, 1, 23, 198, 68, 2, 6, 11, 0, 103, 10, 8, 1, 0.285, 0.376, 0.527, 0.903, 0.392, 139.0, 2.69
2004, SK, 32, 92, 268, 226, 27, 54, 5, 0, 5, 74, 31, 4, 1, 7, 0, 68, 9, 7, 0, 0.239, 0.341, 0.327, 0.668, 0.313, 81.8, 0.39
2005, SK, 33, 19, 35, 34, 4, 7, 0, 0, 2, 13, 4, 0, 0, 1, 0, 12, 0, 0, 0, 0.206, 0.229, 0.382, 0.611, 0.273, 58.2, -0.05
2006, SK|KIA, 34, 54, 143, 121, 11, 28, 7, 0, 4, 47, 19, 1, 0, 3, 1, 32, 4, 3, 1, 0.231, 0.329, 0.388, 0.717, 0.327, 105.3, 0.57
, KIA, 34, 50, 137, 116, 11, 28, 7, 0, 4, 47, 19, 1, 0, 3, 1, 29, 4, 3, 1, 0.241, 0.336, 0.405, 0.741, 0.336, 111.9, 0.65
, SK, 34, 4, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.167, 0.000, 0.167, 0.118, -48.1, -0.08
2007, KIA, 35, 64, 152, 129, 8, 29, 8, 0, 5, 52, 18, 0, 2, 4, 0, 39, 3, 3, 0, 0.225, 0.329, 0.403, 0.732, 0.336, 104.1, 0.48
