year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2006, 두산, 18, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -131.2, -0.07
2007, 두산, 19, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -135.8, -0.07
2008, 두산, 20, 16, 16, 15, 3, 4, 2, 1, 0, 8, 6, 0, 0, 0, 0, 4, 0, 0, 0, 0.267, 0.313, 0.533, 0.846, 0.376, 128.6, 0.14
2009, 두산, 21, 9, 11, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0.000, 0.091, 0.000, 0.091, 0.069, -91.7, -0.20
2012, 두산, 24, 81, 238, 210, 29, 57, 11, 2, 2, 78, 22, 4, 3, 3, 0, 23, 2, 6, 1, 0.271, 0.336, 0.371, 0.708, 0.327, 102.3, 1.33
2013, 두산, 25, 47, 100, 91, 12, 27, 5, 1, 2, 40, 10, 1, 0, 0, 1, 9, 3, 0, 1, 0.297, 0.350, 0.440, 0.790, 0.361, 113.3, 0.71
2014, 두산, 26, 82, 211, 189, 38, 53, 14, 0, 4, 79, 31, 1, 1, 2, 0, 25, 1, 4, 2, 0.280, 0.333, 0.418, 0.751, 0.332, 89.3, 0.80
2015, 두산, 27, 100, 270, 238, 34, 67, 16, 2, 5, 102, 32, 0, 3, 3, 2, 34, 6, 3, 1, 0.282, 0.356, 0.429, 0.784, 0.349, 104.7, 1.25
2016, 두산, 28, 85, 182, 160, 21, 45, 11, 0, 2, 62, 22, 0, 0, 4, 1, 19, 2, 2, 4, 0.281, 0.339, 0.388, 0.726, 0.328, 80.9, 0.16
2017, 두산, 29, 129, 452, 399, 65, 120, 16, 6, 7, 169, 57, 3, 2, 9, 1, 58, 10, 1, 5, 0.301, 0.370, 0.424, 0.794, 0.357, 108.7, 2.54
2018, 두산, 30, 138, 590, 519, 87, 173, 39, 6, 26, 302, 108, 1, 0, 10, 1, 89, 5, 0, 10, 0.333, 0.397, 0.582, 0.979, 0.413, 148.6, 4.66
2019, 두산, 31, 87, 325, 285, 27, 79, 13, 0, 4, 104, 47, 0, 0, 1, 0, 35, 10, 0, 11, 0.277, 0.332, 0.365, 0.697, 0.323, 95.6, 0.77
2020, 두산, 32, 140, 573, 508, 63, 155, 29, 4, 16, 240, 86, 2, 2, 7, 5, 66, 7, 1, 10, 0.305, 0.365, 0.472, 0.838, 0.372, 123.6, 
2021, SSG, 33, 116, 470, 406, 50, 104, 16, 0, 18, 174, 67, 2, 1, 9, 4, 84, 7, 0, 2, 0.256, 0.353, 0.429, 0.782, 0.361, 111.2, 2.36
2022, SSG, 34, 32, 116, 103, 9, 15, 3, 2, 1, 25, 16, 0, 0, 2, 1, 20, 2, 0, 2, 0.146, 0.224, 0.243, 0.467, 0.219, 33.1, -0.48
