year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2004, 롯데, 19, 3, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -133.3, -0.13
2005, 롯데, 20, 104, 230, 214, 20, 52, 11, 2, 2, 73, 18, 1, 4, 2, 0, 56, 7, 9, 0, 0.243, 0.267, 0.341, 0.608, 0.269, 54.6, 0.21
2006, 롯데, 21, 126, 460, 410, 40, 103, 20, 0, 9, 150, 53, 4, 1, 11, 2, 78, 5, 14, 2, 0.251, 0.307, 0.366, 0.673, 0.305, 89.4, 2.63
2007, 롯데, 22, 125, 474, 413, 48, 112, 20, 0, 14, 174, 68, 1, 4, 4, 1, 88, 10, 17, 3, 0.271, 0.335, 0.421, 0.756, 0.337, 105.2, 3.32
2008, 롯데, 23, 122, 501, 435, 51, 127, 25, 1, 19, 211, 82, 2, 4, 7, 1, 77, 13, 0, 10, 0.292, 0.365, 0.485, 0.850, 0.387, 136.5, 5.37
2009, 롯데, 24, 83, 301, 262, 36, 68, 13, 0, 9, 108, 30, 0, 0, 3, 1, 44, 9, 0, 3, 0.260, 0.346, 0.412, 0.758, 0.342, 94.8, 1.80
2010, 롯데, 25, 117, 465, 410, 66, 125, 19, 1, 23, 215, 72, 2, 7, 8, 1, 65, 16, 0, 5, 0.305, 0.376, 0.524, 0.901, 0.400, 138.5, 5.04
2011, 롯데, 26, 124, 506, 450, 63, 130, 25, 2, 19, 216, 66, 4, 6, 8, 2, 81, 18, 0, 1, 0.289, 0.366, 0.480, 0.846, 0.388, 135.2, 5.38
2012, 롯데, 27, 119, 454, 400, 41, 109, 21, 0, 19, 187, 66, 0, 1, 8, 2, 97, 9, 0, 2, 0.273, 0.355, 0.468, 0.822, 0.380, 139.2, 5.00
2013, 롯데, 28, 105, 405, 327, 48, 77, 13, 0, 11, 123, 57, 4, 1, 11, 3, 87, 5, 1, 6, 0.235, 0.366, 0.376, 0.743, 0.351, 106.0, 3.09
2014, 롯데, 29, 98, 360, 310, 37, 71, 14, 2, 16, 137, 40, 1, 2, 13, 3, 92, 6, 0, 4, 0.229, 0.325, 0.442, 0.767, 0.336, 82.7, 1.45
2015, 롯데, 30, 123, 456, 380, 63, 118, 18, 1, 35, 243, 86, 0, 0, 14, 2, 112, 14, 0, 2, 0.311, 0.421, 0.639, 1.061, 0.451, 164.9, 5.23
2016, 롯데, 31, 116, 460, 381, 65, 123, 26, 0, 20, 209, 72, 4, 0, 10, 4, 91, 7, 0, 3, 0.323, 0.433, 0.549, 0.981, 0.434, 147.7, 5.00
2017, 롯데, 32, 130, 515, 456, 62, 130, 22, 1, 22, 220, 68, 0, 2, 15, 6, 104, 15, 0, 3, 0.285, 0.361, 0.482, 0.844, 0.367, 110.9, 3.51
2018, 삼성, 33, 129, 477, 427, 46, 115, 14, 0, 22, 195, 71, 0, 0, 14, 5, 96, 11, 0, 7, 0.269, 0.331, 0.457, 0.788, 0.337, 90.2, 1.97
2019, 삼성, 34, 112, 393, 346, 36, 81, 20, 0, 13, 140, 45, 0, 0, 9, 2, 76, 9, 2, 3, 0.234, 0.315, 0.405, 0.719, 0.327, 92.2, 1.84
2020, 삼성, 35, 119, 393, 355, 46, 102, 14, 0, 19, 173, 61, 0, 0, 4, 2, 54, 17, 0, 3, 0.287, 0.349, 0.487, 0.836, 0.370, 113.2, 
2021, 삼성, 36, 123, 462, 406, 55, 118, 22, 0, 18, 194, 67, 0, 0, 4, 4, 53, 18, 0, 7, 0.291, 0.362, 0.478, 0.839, 0.380, 123.6, 3.86
2022, 삼성, 37, 33, 125, 108, 10, 22, 2, 0, 1, 27, 17, 0, 0, 2, 1, 15, 6, 0, 3, 0.204, 0.288, 0.250, 0.538, 0.259, 60.4, -0.06
