year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2000, 한화, 19, 69, 86, 74, 11, 12, 7, 0, 1, 22, 3, 1, 0, 1, 0, 21, 2, 0, 1, 0.162, 0.267, 0.297, 0.565, 0.263, 48.9, -0.06
2001, 한화, 20, 71, 159, 138, 22, 27, 7, 1, 3, 45, 16, 2, 4, 2, 0, 25, 3, 7, 1, 0.196, 0.263, 0.326, 0.589, 0.260, 42.4, -0.37
2002, 한화, 21, 111, 329, 296, 41, 77, 20, 2, 11, 134, 35, 5, 1, 3, 1, 57, 5, 4, 2, 0.260, 0.320, 0.453, 0.773, 0.334, 103.6, 2.02
2003, 한화, 22, 107, 384, 323, 46, 77, 19, 1, 11, 131, 38, 2, 6, 5, 1, 63, 6, 8, 1, 0.238, 0.343, 0.406, 0.749, 0.334, 97.4, 1.71
2004, 한화, 23, 133, 541, 481, 80, 148, 35, 3, 23, 258, 74, 6, 3, 3, 1, 80, 8, 5, 4, 0.308, 0.371, 0.536, 0.908, 0.401, 140.7, 5.61
2005, 한화, 24, 126, 513, 444, 69, 121, 27, 1, 26, 228, 68, 6, 2, 9, 0, 94, 8, 1, 6, 0.273, 0.357, 0.514, 0.871, 0.387, 135.8, 4.95
2006, 한화, 25, 126, 497, 421, 53, 108, 25, 1, 20, 195, 73, 0, 2, 7, 2, 87, 11, 1, 3, 0.257, 0.363, 0.463, 0.826, 0.379, 141.1, 4.75
2007, 한화, 26, 126, 505, 418, 57, 103, 14, 0, 21, 180, 63, 2, 0, 5, 1, 73, 14, 6, 4, 0.246, 0.361, 0.431, 0.791, 0.363, 122.5, 3.90
2008, 한화, 27, 125, 508, 434, 80, 120, 21, 3, 19, 204, 77, 12, 1, 9, 0, 50, 18, 0, 4, 0.277, 0.374, 0.470, 0.844, 0.389, 136.1, 5.15
2009, 한화, 28, 126, 499, 436, 64, 124, 21, 0, 25, 220, 79, 3, 1, 7, 5, 70, 10, 0, 3, 0.284, 0.369, 0.505, 0.873, 0.382, 121.0, 3.83
2011, KIA, 30, 101, 405, 318, 63, 96, 21, 0, 17, 168, 77, 2, 0, 7, 3, 56, 8, 0, 5, 0.302, 0.440, 0.528, 0.968, 0.440, 171.1, 5.54
2012, KIA, 31, 42, 171, 140, 13, 41, 7, 0, 2, 54, 19, 1, 0, 1, 2, 23, 3, 0, 3, 0.293, 0.404, 0.386, 0.789, 0.373, 134.9, 1.55
2013, KIA, 32, 122, 516, 436, 56, 108, 17, 0, 24, 197, 73, 0, 2, 9, 3, 79, 18, 4, 5, 0.248, 0.350, 0.452, 0.801, 0.364, 115.0, 3.35
2014, KIA, 33, 105, 406, 350, 47, 94, 23, 0, 19, 174, 82, 2, 2, 11, 1, 89, 9, 0, 4, 0.269, 0.360, 0.497, 0.857, 0.375, 111.8, 2.41
2015, KIA, 34, 138, 514, 437, 60, 118, 25, 0, 28, 227, 79, 3, 4, 16, 1, 91, 16, 0, 4, 0.270, 0.372, 0.519, 0.891, 0.389, 125.2, 3.34
2016, KIA, 35, 138, 560, 484, 93, 150, 23, 0, 33, 272, 108, 1, 1, 9, 7, 57, 15, 0, 7, 0.310, 0.391, 0.562, 0.953, 0.411, 132.9, 4.36
2017, KIA, 36, 115, 447, 382, 57, 104, 14, 0, 25, 193, 89, 0, 0, 7, 3, 81, 9, 0, 6, 0.272, 0.365, 0.505, 0.870, 0.375, 118.2, 3.00
2018, KIA, 37, 101, 380, 332, 41, 93, 7, 0, 20, 160, 69, 1, 0, 4, 4, 59, 12, 0, 2, 0.280, 0.366, 0.482, 0.848, 0.365, 112.5, 2.23
2019, KIA, 38, 19, 31, 26, 1, 6, 1, 0, 1, 10, 5, 0, 0, 0, 0, 3, 1, 0, 2, 0.231, 0.290, 0.385, 0.675, 0.301, 78.0, 0.01
