year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1996, 해태, 19, 71, 211, 189, 16, 39, 9, 0, 2, 54, 11, 0, 1, 0, 0, 35, 3, 1, 0, 0.206, 0.286, 0.286, 0.571, 0.273, 69.2, -0.26
1997, 해태, 20, 103, 334, 314, 36, 84, 14, 1, 4, 112, 35, 2, 2, 4, 0, 46, 7, 3, 0, 0.268, 0.305, 0.357, 0.662, 0.303, 85.7, 0.32
1998, 해태, 21, 125, 529, 465, 76, 145, 23, 1, 15, 215, 49, 5, 0, 9, 6, 53, 12, 9, 2, 0.312, 0.381, 0.462, 0.843, 0.369, 132.6, 3.71
1999, 해태, 22, 129, 559, 485, 110, 166, 32, 1, 24, 272, 62, 5, 3, 8, 2, 71, 9, 0, 5, 0.342, 0.420, 0.561, 0.981, 0.425, 152.0, 5.63
2000, 해태, 23, 115, 546, 450, 90, 146, 30, 1, 14, 220, 48, 6, 5, 3, 4, 57, 7, 2, 3, 0.324, 0.436, 0.489, 0.925, 0.413, 148.2, 4.66
2001, 해태/KIA, 24, 133, 591, 489, 86, 152, 32, 4, 23, 261, 97, 6, 4, 6, 5, 53, 11, 3, 3, 0.311, 0.422, 0.534, 0.956, 0.423, 148.3, 5.16
2002, KIA, 25, 133, 586, 481, 82, 165, 29, 0, 19, 251, 95, 7, 3, 9, 14, 53, 15, 2, 8, 0.343, 0.445, 0.522, 0.967, 0.419, 163.1, 6.02
2003, KIA, 26, 130, 571, 476, 93, 150, 36, 2, 21, 253, 105, 13, 4, 3, 7, 52, 7, 3, 5, 0.315, 0.417, 0.532, 0.949, 0.415, 154.2, 5.58
2004, KIA, 27, 130, 561, 474, 78, 142, 29, 0, 19, 228, 80, 11, 7, 7, 5, 61, 11, 0, 4, 0.300, 0.401, 0.481, 0.882, 0.400, 140.8, 4.24
2005, KIA, 28, 123, 533, 464, 70, 139, 23, 1, 16, 212, 74, 4, 1, 3, 10, 48, 12, 1, 4, 0.300, 0.382, 0.457, 0.839, 0.377, 129.8, 3.37
2006, KIA, 29, 126, 540, 445, 62, 136, 24, 2, 13, 203, 79, 6, 3, 3, 10, 38, 5, 3, 6, 0.306, 0.413, 0.456, 0.870, 0.397, 154.8, 4.95
2007, KIA, 30, 116, 464, 395, 55, 111, 22, 0, 11, 166, 62, 9, 4, 3, 3, 30, 10, 0, 3, 0.281, 0.382, 0.420, 0.802, 0.374, 130.8, 2.94
2008, KIA, 31, 85, 352, 293, 39, 89, 17, 1, 7, 129, 46, 15, 5, 3, 6, 25, 11, 0, 3, 0.304, 0.412, 0.440, 0.852, 0.395, 141.3, 2.79
2009, KIA, 32, 88, 312, 271, 39, 77, 11, 3, 7, 115, 39, 7, 5, 1, 0, 42, 8, 0, 0, 0.284, 0.378, 0.424, 0.803, 0.368, 112.1, 1.54
2010, 한화, 33, 74, 279, 237, 34, 58, 8, 0, 4, 78, 29, 0, 2, 2, 1, 35, 9, 3, 2, 0.245, 0.344, 0.329, 0.673, 0.317, 83.7, 0.06
2011, 한화, 34, 116, 478, 390, 53, 95, 13, 0, 8, 132, 37, 0, 6, 4, 2, 66, 9, 3, 0, 0.244, 0.379, 0.338, 0.717, 0.347, 108.1, 1.41
2012, 한화, 35, 130, 501, 429, 57, 113, 28, 0, 9, 168, 52, 2, 3, 2, 1, 63, 11, 1, 2, 0.263, 0.364, 0.392, 0.756, 0.358, 123.2, 2.50
2013, 롯데, 36, 83, 278, 241, 21, 64, 10, 1, 4, 88, 27, 0, 1, 2, 4, 36, 5, 0, 0, 0.266, 0.363, 0.365, 0.729, 0.345, 101.7, 0.71
2014, 롯데, 37, 5, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0.000, 0.600, 0.000, 0.600, 0.372, 103.4, 0.02
2015, kt, 38, 49, 114, 94, 11, 29, 4, 0, 1, 36, 16, 1, 0, 2, 0, 15, 3, 0, 1, 0.309, 0.421, 0.383, 0.804, 0.381, 118.4, 0.35
