year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2004, LG, 20, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, , 0.01
2005, LG, 21, 102, 230, 187, 34, 44, 7, 3, 9, 84, 30, 3, 1, 21, 3, 78, 0, 0, 1, 0.235, 0.374, 0.449, 0.823, 0.374, 128.6, 2.49
2006, LG, 22, 56, 143, 120, 13, 26, 8, 0, 2, 40, 13, 2, 1, 8, 0, 46, 2, 1, 3, 0.217, 0.317, 0.333, 0.650, 0.308, 91.6, 0.11
2007, LG, 23, 75, 158, 141, 20, 35, 6, 2, 1, 48, 14, 7, 1, 5, 1, 51, 2, 2, 1, 0.248, 0.314, 0.340, 0.655, 0.304, 81.4, 0.15
2008, LG|두산, 24, 84, 254, 216, 23, 47, 7, 2, 1, 61, 29, 8, 4, 10, 2, 72, 5, 1, 1, 0.218, 0.328, 0.282, 0.611, 0.298, 74.8, 0.21
, 두산, 24, 54, 181, 154, 15, 35, 2, 1, 1, 42, 22, 7, 3, 6, 2, 51, 4, 0, 1, 0.227, 0.337, 0.273, 0.610, 0.300, 76.0, 0.17
, LG, 24, 30, 73, 62, 8, 12, 5, 1, 0, 19, 7, 1, 1, 4, 0, 21, 1, 1, 0, 0.194, 0.306, 0.306, 0.612, 0.294, 72.0, 0.02
2009, 두산, 25, 31, 79, 69, 7, 17, 3, 0, 2, 26, 5, 2, 0, 3, 0, 28, 0, 0, 0, 0.246, 0.342, 0.377, 0.719, 0.333, 88.5, 0.08
2010, 두산, 26, 129, 484, 419, 77, 110, 27, 1, 24, 211, 86, 6, 3, 13, 0, 136, 6, 9, 3, 0.263, 0.343, 0.504, 0.847, 0.369, 118.0, 2.84
2011, 두산, 27, 83, 246, 221, 23, 56, 7, 1, 7, 86, 28, 4, 6, 9, 0, 76, 2, 0, 0, 0.253, 0.329, 0.389, 0.718, 0.339, 102.2, 0.79
2012, 넥센|두산, 28, 104, 298, 265, 24, 58, 12, 0, 7, 91, 35, 5, 6, 6, 0, 85, 6, 1, 1, 0.219, 0.300, 0.343, 0.643, 0.306, 87.2, 0.42
, 넥센, 28, 50, 158, 139, 8, 22, 4, 0, 4, 38, 13, 3, 3, 4, 0, 53, 0, 0, 1, 0.158, 0.253, 0.273, 0.527, 0.257, 52.7, -0.38
, 두산, 28, 54, 140, 126, 16, 36, 8, 0, 3, 53, 22, 2, 3, 2, 0, 32, 6, 1, 0, 0.286, 0.353, 0.421, 0.773, 0.362, 126.3, 0.80
2013, 넥센, 29, 92, 329, 284, 42, 67, 12, 0, 18, 133, 48, 1, 2, 17, 1, 115, 2, 3, 2, 0.236, 0.328, 0.468, 0.797, 0.359, 111.6, 1.54
2014, 넥센, 30, 96, 291, 256, 46, 66, 10, 0, 14, 118, 39, 2, 3, 9, 1, 80, 0, 1, 1, 0.258, 0.341, 0.461, 0.802, 0.353, 93.0, 0.47
2015, 넥센|한화, 31, 101, 268, 232, 35, 58, 10, 2, 9, 99, 36, 1, 1, 9, 1, 87, 5, 5, 2, 0.250, 0.331, 0.427, 0.758, 0.332, 84.2, 0.58
, 넥센, 31, 4, 14, 13, 1, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0.231, 0.286, 0.231, 0.517, 0.253, 36.5, -0.10
, 한화, 31, 97, 254, 219, 34, 55, 10, 2, 9, 96, 35, 1, 1, 9, 1, 83, 5, 5, 2, 0.251, 0.333, 0.438, 0.772, 0.336, 87.0, 0.67
2016, 한화, 32, 86, 219, 198, 29, 57, 7, 3, 10, 100, 29, 0, 0, 8, 0, 62, 3, 2, 0, 0.288, 0.350, 0.505, 0.855, 0.374, 107.5, 0.81
2017, 한화, 33, 81, 318, 280, 41, 86, 16, 1, 21, 167, 65, 3, 0, 9, 0, 80, 0, 4, 5, 0.307, 0.364, 0.596, 0.961, 0.399, 131.3, 2.14
2018, 한화, 34, 131, 528, 485, 76, 143, 21, 1, 34, 268, 102, 9, 7, 5, 3, 143, 9, 1, 2, 0.295, 0.347, 0.553, 0.900, 0.377, 114.2, 1.87
2019, 한화, 35, 129, 476, 414, 60, 106, 21, 1, 21, 192, 85, 8, 4, 9, 1, 114, 7, 1, 4, 0.256, 0.343, 0.464, 0.807, 0.364, 124.2, 2.44
2020, 한화, 36, 79, 248, 227, 23, 46, 5, 0, 8, 75, 34, 1, 1, 5, 0, 69, 4, 0, 0, 0.203, 0.270, 0.330, 0.601, 0.277, 57.5, 
2021, 한화, 37, 46, 140, 119, 15, 25, 8, 0, 2, 39, 20, 1, 0, 1, 0, 36, 2, 0, 2, 0.210, 0.314, 0.328, 0.642, 0.308, 79.0, -0.27
