,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, LG,19,0,0,16,4,4,0,0,97.2,46,40,434,94,0,5,44,1,10,67,1,4,3.69,4.48,1.41,125.7,104.5
1,1, LG,20,0,0,22,8,9,0,0,115.0,58,55,477,89,0,13,45,1,14,100,0,6,4.3,4.58,1.17,100.2,93.7
2,2, LG,21,0,0,7,3,2,0,0,30.1,21,18,135,33,2,1,14,0,0,15,0,1,5.34,4.08,1.55,67.8,90.2
