,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, 한화,20,13,9,6,3,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.244,39.4,-0.11
1,1, 한화,22,43,130,114,12,20,1,1,1,26,9,4,2,2,0,43,1,4,2,0.175,0.23800000000000002,0.228,0.466,0.221,22.0,-0.71
2,2, 한화,23,13,25,23,4,3,0,0,1,6,1,0,0,0,0,11,1,0,0,0.13,0.2,0.261,0.461,0.218,31.9,-0.08
