,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, 롯데,19,0,0,0,0,2,0,8,29.2,16,16,130,31,1,3,11,4,2,26,0,3,4.85,4.03,1.42,100.3,119.1
1,1, 롯데,20,0,0,0,4,2,1,20,47.1,16,15,195,41,0,6,16,3,1,45,0,1,2.85,3.97,1.2,159.4,112.5
2,2, 롯데,21,0,0,0,0,3,9,2,21.0,7,7,82,14,0,3,4,0,0,27,0,1,3.0,3.11,0.86,125.6,118.2
