,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, KIA,19,0,0,0,0,0,0,0,16.1,16,14,80,23,1,2,7,0,2,6,1,1,7.71,5.91,1.84,54.7,70.7
1,1, KIA,21,0,0,0,0,0,0,0,14.1,6,5,67,9,0,1,13,0,3,5,0,1,3.14,6.89,1.54,141.6,64.7
