,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, KIA,19,0,0,0,0,0,0,0,14.2,15,15,67,16,0,3,8,0,1,12,0,3,9.2,6.7,1.64,55.8,76.9
1,1, KIA,20,0,0,0,6,2,0,15,52.2,31,29,243,59,1,5,31,2,0,51,0,1,4.96,4.35,1.71,85.2,96.6
2,2, NC,23,0,0,0,0,0,0,1,5.2,11,10,32,9,0,2,4,0,0,7,0,2,15.88,7.49,2.29,23.8,51.2
