,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, KT,24,0,0,0,0,0,0,0,6.1,10,10,30,10,0,2,2,0,1,0,0,0,14.21,8.93,1.9,29.3,45.8
1,1, KT,25,0,0,0,0,0,0,0,6.0,6,6,30,11,0,0,3,0,0,3,0,1,9.0,4.06,2.33,53.3,117.9
2,2, KT,26,0,0,0,0,1,0,1,6.1,6,6,29,7,0,0,3,0,0,5,0,1,8.53,3.18,1.58,52.7,140.4
