,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, KT,19,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.05
1,1, KT,20,30,18,16,4,2,0,0,0,2,0,0,0,0,0,7,1,0,0,0.125,0.222,0.125,0.34700000000000003,0.185,-1.4,-0.17
2,2, KT,22,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.4,-0.01
