,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0, 롯데,23,17,20,20,4,2,0,0,1,5,2,0,0,0,0,4,0,0,0,0.1,0.1,0.25,0.35,0.151,-25.2,-0.19
1,1, 롯데,24,5,8,7,2,3,0,0,0,3,2,1,1,0,0,0,0,0,0,0.429,0.5,0.429,0.929,0.445,165.3,0.07
2,2, 롯데,25,71,136,119,23,31,5,2,1,43,6,3,1,3,0,20,2,2,1,0.261,0.336,0.361,0.6970000000000001,0.327,88.6,0.21
3,3, 롯데,26,13,21,17,1,1,0,0,0,1,0,1,1,1,0,6,0,0,0,0.059000000000000004,0.23800000000000002,0.059000000000000004,0.297,0.182,5.6,-0.17
