,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, SK,28,103,452,405,65,137,26,4,15,216,70,3,2,11,2,55,8,3,2,0.338,0.399,0.5329999999999999,0.932,0.408,144.9,5.29
1,1,1, SK,29,122,510,422,59,135,27,0,22,228,80,7,3,24,7,53,12,2,5,0.32,0.425,0.54,0.966,0.426,151.0,6.23
2,2,2, 삼성,30,128,545,481,89,136,29,0,25,240,90,1,2,21,3,84,10,4,4,0.28300000000000003,0.355,0.499,0.8540000000000001,0.369,128.1,5.07
3,3,3, 삼성,31,102,433,380,59,97,17,1,20,176,58,2,2,10,0,58,8,9,3,0.255,0.326,0.463,0.789,0.343,103.6,2.81
4,4,4, SK,32,102,421,368,41,96,18,0,13,153,50,0,2,15,4,57,5,1,3,0.261,0.345,0.416,0.7609999999999999,0.34700000000000003,105.2,2.34
5,5,5, 한화,33,78,308,287,34,82,14,0,17,147,43,0,1,8,0,45,11,0,2,0.28600000000000003,0.328,0.512,0.84,0.374,127.3,2.74
