WAR,Name,year
2.1,강백호,1
4.69,강백호,2
4.75,강백호,3
6.35,강백호,4
3.0983951453627343,강백호,5
3.35441804209139,강백호,6
3.194012776182973,강백호,7
3.287085522314513,강백호,8
-0.05,고명성,1
-0.17,고명성,2
-0.01,고명성,3
1.3408670497698276,고명성,4
2.7445135051770797,고명성,5
2.554480939160096,고명성,6
2.395461696826527,고명성,7
2.447528128050279,고명성,8
0.07,고승민,1
-0.21,고승민,2
1.4218886022326593,고승민,3
1.6466124661449935,고승민,4
2.7642650385827907,고승민,5
2.51774991949837,고승민,6
2.6160714055654086,고승민,7
2.4827790471635103,고승민,8
0.21,공민규,1
-0.06,공민규,2
1.5935468896139229,공민규,3
1.8220637075121537,공민규,4
2.772234906626209,공민규,5
2.5273657486589305,공민규,6
2.6292521046153148,공민규,7
2.496584051691406,공민규,8
-0.28,구본혁,1
-0.42,구본혁,2
-0.28,구본혁,3
1.2622768255515027,구본혁,4
2.6614356366930663,구본혁,5
2.468111148441798,구본혁,6
2.3208735714705213,구본혁,7
2.404445307532035,구본혁,8
-0.22,김대한,1
0.9818649520117351,김대한,2
1.311892936641653,김대한,3
1.8615674950259335,김대한,4
2.716532166185656,김대한,5
2.744073431481158,김대한,6
2.628113721896863,김대한,7
2.548306984303895,김대한,8
0.11,김도환,1
-0.08,김도환,2
-0.28,김도환,3
1.42069307812812,김도환,4
2.770848883051361,김도환,5
2.5692945892143797,김도환,6
2.3660943342602554,김도환,7
2.4757407695282243,김도환,8
-0.03,김성민,1
1.7964089028991095,김성민,2
2.213857583424653,김성민,3
3.0004187885975324,김성민,4
2.6422903142353187,김성민,5
2.7726290854415434,김성민,6
2.6710584824850225,김성민,7
2.6302423658704868,김성민,8
-0.13,김수환,1
-0.04,김수환,2
0.01,김수환,3
1.4149303541958727,김수환,4
2.686125053450205,김수환,5
2.530657670893216,김수환,6
2.368606443867656,김수환,7
2.429571484786359,김수환,8
0.0,김주형,1
0.19,김주형,2
0.3,김주형,3
0.43,김주형,4
2.6924489603764803,김주형,5
2.553441188990917,김주형,6
2.401265728668213,김주형,7
2.2523821905797936,김주형,8
-0.22,김창평,1
0.02,김창평,2
-0.47,김창평,3
1.3312362467865437,김창평,4
2.716532166185656,김창평,5
2.5857542003858054,김창평,6
2.3348210730345462,김창평,7
2.4610165229231225,김창평,8
-0.04,김태근,1
1.47645723180628,김태근,2
1.85439383470263,김태근,3
2.523391797244818,김태근,4
2.68586511590791,김태근,5
2.7651870472329185,김태근,6
2.6571129099328807,김태근,7
2.596946340700813,김태근,8
-0.45,김형준,1
-0.01,김형준,2
0.63,김형준,3
1.242644562950244,김형준,4
2.6786750604913765,김형준,5
2.5808163170343774,김형준,6
2.51587679592023,김형준,7
2.446434676233449,김형준,8
-0.8,노시환,1
0.84,노시환,2
3.75,노시환,3
1.79,노시환,4
2.6210664213913866,노시환,5
2.7207230119914967,노시환,6
3.029416664468715,노시환,7
2.5365272528974967,노시환,8
1.06,문보경,1
0.47,문보경,2
2.0345049099938572,문보경,3
1.904533337185974,문보경,4
2.89706801398675,문보경,5
2.6296752754640655,문보경,6
2.716905667795647,문보경,7
2.5252318196668098,문보경,8
-0.05,문성주,1
-0.13,문성주,2
1.37,문성주,3
2.083850843363842,문성주,4
2.714366329983924,문성주,5
2.500770433242354,문성주,6
2.577383568202469,문성주,7
2.5245996087528284,문성주,8
-0.02,박민석,1
1.0634530140166625,박민석,2
1.3877520163595887,박민석,3
1.8925134715242518,박민석,4
2.7494513885285077,박민석,5
2.757502509249471,박민석,6
2.640599831456657,박민석,7
2.553400571708719,박민석,8
-0.14,박승규,1
-0.34,박승규,2
-0.05,박승규,3
-0.14,박승규,4
2.7296998551227967,박승규,5
2.5264996001686724,박승규,6
2.4039514399545348,박승규,7
2.218856757288979,박승규,8
-0.01,변우혁,1
1.0675324171169087,변우혁,2
1.3915449703454854,변우혁,3
1.8940607703491676,변우혁,4
2.75109734964565,변우혁,5
2.7581739631378865,변우혁,6
2.641224136934647,변우혁,7
2.5536552510789603,변우혁,8
-0.21,서호철,1
-0.02,서호철,2
1.9084705485210933,서호철,3
2.192906318191867,서호철,4
2.642810189319908,서호철,5
2.4887288303377666,서호철,6
2.6358665515685282,서호철,7
2.5124025406775172,서호철,8
-0.05,송승환,1
1.0512148047159233,송승환,2
1.376373154401898,송승환,3
1.887871575049504,송승환,4
2.7445135051770797,송승환,5
2.755488147584224,송승환,6
2.638726915022688,송승환,7
2.5526365335979952,송승환,8
-0.13,송찬의,1
1.4397426039040628,송찬의,2
1.820257248829559,송찬의,3
2.5094661078205744,송찬의,4
2.671051465853627,송찬의,5
2.759143962237178,송찬의,6
2.6514941606309734,송찬의,7
2.5946542263686423,송찬의,8
-0.19,신용수,1
0.07,신용수,2
0.21,신용수,3
-0.17,신용수,4
2.6611756991507716,신용수,5
2.533689655585206,신용수,6
2.38645207861393,신용수,7
2.153624523551239,신용수,8
-0.02,양우현,1
-0.3,양우현,2
1.3877520163595887,양우현,3
1.3753620171145053,양우현,4
2.7494513885285077,양우현,5
2.533083444637243,양우현,6
2.640599831456657,양우현,7
2.4682794531455015,양우현,8
-0.16,예진원,1
0.03,예진원,2
-0.75,예진원,3
-0.04,예진원,4
2.7264079328885114,예진원,5
2.5874001615029476,예진원,6
2.273660574157976,예진원,7
2.2202427808638268,예진원,8
-0.39,오선우,1
0.08,오선우,2
-0.29,오선우,3
1.3779345468413506,오선우,4
2.6282564768079197,오선우,5
2.5353356167023486,오선우,6
2.3041540227568005,오선우,7
2.4084085311494974,오선우,8
-0.13,오영수,1
-0.13,오영수,2
-0.5,오영수,3
1.300691203114269,오영수,4
2.746419403836517,오영수,5
2.5761383712252446,오영수,6
2.3148096020865405,오영수,7
2.4409153399059456,오영수,8
-0.48,오정환,1
-0.01,오정환,2
1.3318330645870455,오정환,3
1.7224715458629292,오정환,4
2.658663589543371,오정환,5
2.5506691418412215,오정환,6
2.6012486142306033,오정환,7
2.4952651567233044,오정환,8
-0.28,유장혁,1
-0.44,유장혁,2
-0.72,유장혁,3
1.1891007680678776,유장혁,4
2.7066563994828003,유장혁,5
2.5100399889972467,유장혁,6
2.293672045105982,유장혁,7
2.437621575789385,유장혁,8
0.0,윤정빈,1
1.4927748442072655,윤정빈,2
1.869565650646217,윤정빈,3
2.5295809925444814,윤정빈,4
2.6924489603764803,윤정빈,5
2.767872862786581,윤정빈,6
2.6596101318448397,윤정빈,7
2.597965058181778,윤정빈,8
0.0,이명기,1
-0.04,이명기,2
1.6324517874887996,이명기,3
1.7110926839052385,이명기,4
2.7225961355696366,이명기,5
2.545731258489794,이명기,6
2.650729287128738,이명기,7
2.493392240289335,이명기,8
-0.01,이승민,1
1.6992769531020742,이승민,2
2.1028865598177378,이승민,3
2.845020155404764,이승민,4
2.6606558240661817,이승민,5
2.7717151317783046,이승민,6
2.667866671082951,이승민,7
2.619737942677825,이승민,8
-0.11,이원석,1
-0.71,이원석,2
-0.08,이원석,3
1.54390071873748,이원석,4
2.7195641508776465,이원석,5
2.4354518636412408,이원석,6
2.368866381409951,이원석,7
2.4658730929128563,이원석,8
0.0,이인혁,1
0.08,이인혁,2
1.3953379243313822,이인혁,3
1.5194942685785824,이인혁,4
2.7527433107627926,이인혁,5
2.595629967088661,이인혁,6
2.6418484424126367,이인혁,7
2.49200306130911,이인혁,8
-0.37,이재원,1
0.25,이재원,2
0.63,이재원,3
1.3844258261583615,이재원,4
2.6616955742353614,이재원,5
2.593464130886929,이재원,6
2.4857296207270743,이재원,7
2.4396241456782843,이재원,8
-0.05,이태훈,1
0.01,이태훈,2
2.206271675452859,이태훈,3
2.3228421117282667,이태훈,4
2.6389983920010334,이태훈,5
2.4785931260926164,이태훈,6
2.669809871529043,이태훈,7
2.5187158794695375,이태훈,8
1.8,이학주,1
0.37,이학주,2
-0.04,이학주,3
0.01,이학주,4
2.8982804358826764,이학주,5
2.4926269635200153,이학주,6
2.254861525105897,이학주,7
2.0928102980803374,이학주,8
0.13,장두성,1
-0.18,장두성,2
1.8003171208841664,장두성,3
1.7765482596813924,장두성,4
2.728920042495912,장두성,5
2.5076142152532195,장두성,6
2.663285680700655,장두성,7
2.48909238595553,장두성,8
0.0,전민재,1
0.0,전민재,2
-0.02,전민재,3
0.01,전민재,4
2.7527433107627926,전민재,5
2.58246227815152,전민재,6
2.393815735709384,전민재,7
2.2284725864495396,전민재,8
-0.22,정보근,1
-1.19,정보근,2
0.04,정보근,3
-0.56,정보근,4
2.7014585785890777,정보근,5
2.3715193176149754,정보근,6
2.40369150241224,정보근,7
2.1346528027724125,정보근,8
-0.07,조한민,1
0.05,조한민,2
1.4873441780088132,조한민,3
1.6266723381996009,조한민,4
2.7261479953462167,조한민,5
2.575618496140655,조한민,6
2.6419187264247594,조한민,7
2.4945705672331915,조한민,8
0.03,채현우,1
-0.21,채현우,2
1.999501444182616,채현우,3
2.0022832608811196,채현우,4
2.68231325613133,채현우,5
2.472529156708636,채현우,6
2.6659234706368595,채현우,7
2.4961003142376623,채현우,8
-0.25,최경모,1
-0.05,최경모,2
1.7747418009987976,최경모,3
2.1815274562341767,최경모,4
2.651299932447916,최경모,5
2.483790946986339,최경모,6
2.6138553197019405,최경모,7
2.5105296242435484,최경모,8
-0.13,최보성,1
1.4397426039040628,최보성,2
1.820257248829559,최보성,3
2.5094661078205744,최보성,4
2.671051465853627,최보성,5
2.759143962237178,최보성,6
2.6514941606309734,최보성,7
2.5946542263686423,최보성,8
0.3,최정원,1
0.8,최정원,2
1.627683475486994,최정원,3
1.9111438871418587,최정원,4
2.787048556680492,최정원,5
2.6990655799263483,최정원,6
2.6650180291103784,최정원,7
2.541393478082419,최정원,8
-0.02,최준우,1
-0.18,최준우,2
1.5063089479382974,최준우,3
1.539434396523975,최준우,4
2.7343778009319295,최준우,5
2.5377613904463754,최준우,6
2.6450402538147078,최준우,7
2.480211541239428,최준우,8
-0.03,추재현,1
-0.22,추재현,2
0.64,추재현,3
-0.12,추재현,4
2.732731839814787,추재현,5
2.531177545977805,추재현,6
2.5024491694407947,추재현,7
2.207075091926686,추재현,8
0.04,한준수,1
1.193220188615668,한준수,2
1.5290666718536778,한준수,3
2.060290495316347,한준수,4
2.744253567634785,한준수,5
2.7637880940200343,한준수,6
2.6487860866826463,한준수,7
2.56594242986331,한준수,8
0.04,허관회,1
-0.16,허관회,2
1.6476236034323866,허관회,3
1.6655772360744772,허관회,4
2.729179980038207,허관회,5
2.525979725084083,허관회,6
2.653226509040697,허관회,7
2.4859005745534586,허관회,8
