Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0(2), 53, -, -, -, -, -, 79.2, 0.5, <built-in method rstrip of str object at 0x00000164B6E36230>, 6.38
21(2), 1767, 2, 5, 1, -, 0.8, 88.1, 0.5, <built-in method rstrip of str object at 0x00000164B6E361B0>, 6.84
15(5), 1345, -, 3, 1, -, 0.6, 84, 0.4, <built-in method rstrip of str object at 0x00000164B6E36570>, 6.60
2(2), 211, -, -, -, -, 0.5, 85.8, -, <built-in method rstrip of str object at 0x00000164B64D0D70>, 6.57
10(7), 925, 2, 1, -, -, 0.7, 89.5, 0.1, <built-in method rstrip of str object at 0x00000164B6E36DB0>, 6.88
8(1), 731, 1, 1, -, -, 1, 82.5, 0.6, <built-in method rstrip of str object at 0x00000164B6E36AB0>, 7.09
13(2), 1084, 5, 3, 1, -, 1.2, 86.1, 0.5, <built-in method rstrip of str object at 0x00000164B6E36D70>, 7.22
5(1), 416, 1, -, -, -, 0.7, 84.8, 0.5, <built-in method rstrip of str object at 0x00000164B64CD3F0>, 6.93
10(7), 968, 3, 1, -, -, 1.2, 81.6, 0.6, <built-in method rstrip of str object at 0x00000164B64D0D70>, 6.85
