year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2019, NC, 31, 2, 0, 30, 9, 9, 0, 0, 177.1, 68, 60, 731, 164, 1, 13, 45, 0, 11, 119, 0, 7, 3.05, 3.96, 1.18, 139.2
2020, NC, 32, 0, 0, 30, 19, 5, 0, 0, 183.0, 67, 62, 770, 173, 3, 14, 57, 0, 11, 167, 0, 11, 3.05, 3.84, 1.26, 160.2
2021, NC, 33, 0, 0, 30, 15, 10, 0, 0, 178.2, 76, 63, 754, 160, 1, 12, 55, 0, 10, 177, 2, 6, 3.17, 3.32, 1.20, 143.1
2022, NC, 34, 0, 0, 8, 3, 3, 0, 0, 52.2, 15, 10, 212, 41, 0, 2, 8, 0, 3, 54, 0, 2, 1.71, 2.29, 0.93, 217.6
year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2019, NC, 31, 2, 0, 30, 9, 9, 0, 0, 177.1, 68, 60, 731, 164, 1, 13, 45, 0, 11, 119, 0, 7, 3.05, 3.96, 1.18, 139.2
2020, NC, 32, 0, 0, 30, 19, 5, 0, 0, 183.0, 67, 62, 770, 173, 3, 14, 57, 0, 11, 167, 0, 11, 3.05, 3.84, 1.26, 160.2
2021, NC, 33, 0, 0, 30, 15, 10, 0, 0, 178.2, 76, 63, 754, 160, 1, 12, 55, 0, 10, 177, 2, 6, 3.17, 3.32, 1.20, 143.1
2022, NC, 34, 0, 0, 8, 3, 3, 0, 0, 52.2, 15, 10, 212, 41, 0, 2, 8, 0, 3, 54, 0, 2, 1.71, 2.29, 0.93, 217.6
