,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 넥센,19,60,59,48,17,9,2,1,2,19,7,4,3,0,0,13,2,2,1,0.188,0.298,0.396,0.6940000000000001,0.298,57.7, -0.02
1,1,1, 넥센,20,140,582,511,89,148,35,5,19,250,73,22,4,5,2,115,10,4,6,0.29,0.362,0.489,0.851,0.3720000000000001,112.9, 4.94
2,2,2, 넥센,21,144,599,526,92,148,29,7,20,251,84,28,15,6,2,80,7,2,5,0.281,0.359,0.477,0.836,0.37,104.8, 3.81
3,3,3, 넥센,22,141,601,526,90,159,36,3,23,270,114,16,8,8,2,65,8,2,7,0.302,0.376,0.513,0.889,0.385,125.4, 4.93
4,4,4, 넥센,23,129,576,511,95,147,27,4,20,242,84,8,2,5,2,81,16,1,5,0.28800000000000003,0.358,0.474,0.8320000000000001,0.36,108.5, 3.56
5,5,5, 키움,24,139,625,540,112,166,38,2,19,265,104,33,4,7,4,80,12,1,7,0.307,0.389,0.491,0.88,0.397,146.2, 7.22
6,6,6, 키움,25,138,622,533,111,163,24,1,30,279,109,23,2,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147.0, 
